dataset_a,dataset_b,intervention,random,ablated_dataset,train_accuracy,val_accuracy,val_intervention_accuracy,test_accuracy,test_accuracy_flipped,test_intervention_accuracy,test_intervention_accuracy_flipped,seed,dataset_pair,sorted_pair,pair
pronouns,sports,sae ablation,True,sports,1.0,0.987500011920929,1.0,0.1749999970197677,0.824999988079071,0.7270833849906921,0.2729166746139526,1,"(pronouns, [XXX]/sports-gemma-2-2b-top-1000)","('pronouns', 'sports')","('pronouns', 'sports')"
pronouns,sports,sae ablation,True,sports,1.0,0.0541666708886623,1.0,0.018750000745058,0.125,1.0,0.0,2,"(pronouns, [XXX]/sports-gemma-2-2b-top-1000)","('pronouns', 'sports')","('pronouns', 'sports')"
pronouns,sports,sae ablation,True,pronouns,1.0,0.8125,1.0,0.2333333492279052,0.7666667103767395,1.0,0.0,2,"(pronouns, [XXX]/sports-gemma-2-2b-top-1000)","('pronouns', 'sports')","('pronouns', 'sports')"
pronouns,sports,sae ablation,True,sports,1.0,1.0,1.0,0.1666666716337204,0.833333432674408,0.2270833551883697,0.7729167342185974,3,"(pronouns, [XXX]/sports-gemma-2-2b-top-1000)","('pronouns', 'sports')","('pronouns', 'sports')"
pronouns,sports,sae ablation,True,pronouns,1.0,0.975000023841858,1.0,0.2458333522081375,0.7541667222976685,0.918749988079071,0.0812500044703483,3,"(pronouns, [XXX]/sports-gemma-2-2b-top-1000)","('pronouns', 'sports')","('pronouns', 'sports')"
pronouns,sports,sae ablation,True,sports,1.0,1.0,1.0,0.1000000014901161,0.9000000357627869,0.1604166775941848,0.8395833969116211,4,"(pronouns, [XXX]/sports-gemma-2-2b-top-1000)","('pronouns', 'sports')","('pronouns', 'sports')"
pronouns,sports,sae ablation,True,pronouns,1.0,1.0,1.0,0.2229166775941848,0.7770833373069763,0.9020833969116212,0.0979166701436042,4,"(pronouns, [XXX]/sports-gemma-2-2b-top-1000)","('pronouns', 'sports')","('pronouns', 'sports')"
sports,pronouns,sae ablation,True,pronouns,1.0,1.0,1.0,0.2708333432674408,0.7291666865348816,0.0916666686534881,0.908333420753479,0,"([XXX]/sports-gemma-2-2b-top-1000, pronouns)","('pronouns', 'sports')","('sports', 'pronouns')"
sports,pronouns,sae ablation,True,sports,1.0,1.0,1.0,0.4708333611488342,0.5291666984558105,0.1833333373069763,0.8166667222976685,0,"([XXX]/sports-gemma-2-2b-top-1000, pronouns)","('pronouns', 'sports')","('sports', 'pronouns')"
sports,pronouns,sae ablation,True,pronouns,1.0,0.987500011920929,0.9937500357627868,0.3187499940395355,0.6812500357627869,0.0062500000931322,0.9937500357627868,1,"([XXX]/sports-gemma-2-2b-top-1000, pronouns)","('pronouns', 'sports')","('sports', 'pronouns')"
sports,pronouns,sae ablation,True,sports,1.0,0.8833333849906921,1.0,0.34375,0.65625,0.0,1.0,1,"([XXX]/sports-gemma-2-2b-top-1000, pronouns)","('pronouns', 'sports')","('sports', 'pronouns')"
sports,pronouns,sae ablation,True,pronouns,1.0,1.0,1.0,0.5229167342185974,0.4770833551883697,0.5250000357627869,0.4749999940395355,2,"([XXX]/sports-gemma-2-2b-top-1000, pronouns)","('pronouns', 'sports')","('sports', 'pronouns')"
sports,pronouns,sae ablation,True,sports,1.0,0.9645833969116212,1.0,0.1604166775941848,0.8395833969116211,0.0,1.0,2,"([XXX]/sports-gemma-2-2b-top-1000, pronouns)","('pronouns', 'sports')","('sports', 'pronouns')"
sports,pronouns,sae ablation,True,pronouns,1.0,1.0,1.0,0.6416667103767395,0.3583333492279053,0.8833333849906921,0.1166666746139526,3,"([XXX]/sports-gemma-2-2b-top-1000, pronouns)","('pronouns', 'sports')","('sports', 'pronouns')"
sports,pronouns,sae ablation,True,sports,1.0,0.46875,1.0,0.5,0.5,0.0,1.0,3,"([XXX]/sports-gemma-2-2b-top-1000, pronouns)","('pronouns', 'sports')","('sports', 'pronouns')"
sports,pronouns,sae ablation,True,pronouns,1.0,1.0,1.0,0.5145833492279053,0.4854167103767395,0.5270833373069763,0.472916692495346,4,"([XXX]/sports-gemma-2-2b-top-1000, pronouns)","('pronouns', 'sports')","('sports', 'pronouns')"
sports,pronouns,sae ablation,True,sports,1.0,1.0,1.0,0.1125000044703483,0.887499988079071,0.0,1.0,4,"([XXX]/sports-gemma-2-2b-top-1000, pronouns)","('pronouns', 'sports')","('sports', 'pronouns')"
sentiment,sports,sae ablation,True,sports,1.0,0.9937500357627868,1.0,0.0,1.0,0.0,1.0,0,"(sentiment, [XXX]/sports-gemma-2-2b-top-1000)","('sentiment', 'sports')","('sentiment', 'sports')"
sentiment,sports,sae ablation,True,sports,1.0,0.9937500357627868,0.9937500357627868,0.018750000745058,0.981249988079071,0.0062500000931322,0.9937500357627868,1,"(sentiment, [XXX]/sports-gemma-2-2b-top-1000)","('sentiment', 'sports')","('sentiment', 'sports')"
sentiment,sports,sae ablation,True,sports,1.0,0.9937500357627868,0.987500011920929,0.018750000745058,0.981249988079071,0.104166679084301,0.895833432674408,2,"(sentiment, [XXX]/sports-gemma-2-2b-top-1000)","('sentiment', 'sports')","('sentiment', 'sports')"
sentiment,sports,sae ablation,True,sports,1.0,1.0,1.0,0.0062500000931322,0.9937500357627868,0.0,1.0,3,"(sentiment, [XXX]/sports-gemma-2-2b-top-1000)","('sentiment', 'sports')","('sentiment', 'sports')"
sentiment,sports,sae ablation,True,sports,1.0,0.9937500357627868,0.9937500357627868,0.0125000001862645,0.987500011920929,0.0,1.0,4,"(sentiment, [XXX]/sports-gemma-2-2b-top-1000)","('sentiment', 'sports')","('sentiment', 'sports')"
sports,sentiment,sae ablation,True,sports,1.0,1.0,1.0,0.943750023841858,0.0562500022351741,0.918749988079071,0.0812500044703483,0,"([XXX]/sports-gemma-2-2b-top-1000, sentiment)","('sentiment', 'sports')","('sports', 'sentiment')"
sports,sentiment,sae ablation,True,sports,1.0,1.0,1.0,0.9937500357627868,0.0062500000931322,0.9625000357627868,0.0375000014901161,1,"([XXX]/sports-gemma-2-2b-top-1000, sentiment)","('sentiment', 'sports')","('sports', 'sentiment')"
sports,sentiment,sae ablation,True,sports,1.0,1.0,0.9937500357627868,0.987500011920929,0.0125000001862645,0.9625000357627868,0.0375000014901161,2,"([XXX]/sports-gemma-2-2b-top-1000, sentiment)","('sentiment', 'sports')","('sports', 'sentiment')"
sports,sentiment,sae ablation,True,sports,1.0,0.970833420753479,0.98333340883255,0.895833432674408,0.104166679084301,0.96875,0.03125,3,"([XXX]/sports-gemma-2-2b-top-1000, sentiment)","('sentiment', 'sports')","('sports', 'sentiment')"
sports,sentiment,sae ablation,True,sports,1.0,0.9937500357627868,1.0,0.7958333492279053,0.2041666805744171,0.939583420753479,0.0604166686534881,4,"([XXX]/sports-gemma-2-2b-top-1000, sentiment)","('sentiment', 'sports')","('sports', 'sentiment')"
