seed,wb_run_group,test_accuracy,test_accuracy_flipped,deployed_accuracy,deployed_accuracy_flipped,intervention,dataset_a,dataset_b,ablated_dataset,pair
4,sports_pronouns_0,0.0,1.0,0.0,1.0,autointerp,sports,pronouns,pronouns,"('sports', 'pronouns')"
4,pronouns_sports_0,1.0,0.0,1.0,0.0,autointerp,pronouns,sports,sports,"('pronouns', 'sports')"
4,sentiment_verbs_1,0.0,1.0,0.0104166669771075,0.9895833730697632,autointerp,sentiment,verbs,sentiment,"('sentiment', 'verbs')"
4,sentiment_sports_0,0.5801136493682861,0.4198863506317138,0.3005681931972503,0.699431836605072,autointerp,sentiment,sports,sports,"('sentiment', 'sports')"
4,verbs_sports_0,1.0,0.0,0.975000023841858,0.025000000372529,autointerp,verbs,sports,sports,"('verbs', 'sports')"
4,sentiment_pronouns_0,0.0052083334885537,0.9947916865348816,0.0104166669771075,0.9895833730697632,autointerp,sentiment,pronouns,pronouns,"('sentiment', 'pronouns')"
4,verbs_pronouns_0,0.0,1.0,0.2322916835546493,0.7677083611488342,autointerp,verbs,pronouns,pronouns,"('verbs', 'pronouns')"
0,verbs_sentiment,0.0,0.0,0.0,0.0,autointerp,verbs,sentiment,verbs,"('verbs', 'sentiment')"
1,verbs_sentiment,0.0,0.0,0.0,0.0,autointerp,verbs,sentiment,verbs,"('verbs', 'sentiment')"
2,verbs_sentiment,0.0,0.0,0.0,0.0,autointerp,verbs,sentiment,verbs,"('verbs', 'sentiment')"
3,verbs_sentiment,0.0,0.0,0.0,0.0,autointerp,verbs,sentiment,verbs,"('verbs', 'sentiment')"
4,verbs_sentiment,0.0,0.0,0.0,0.0,autointerp,verbs,sentiment,verbs,"('verbs', 'sentiment')"
0,verbs_sentiment_1,0.0572916679084301,0.9427083730697632,0.0625,0.9375,test_only,verbs,sentiment,verbs,"('verbs', 'sentiment')"
3,verbs_sentiment_1,0.1666666716337204,0.8333333730697632,0.109375,0.890625,test_only,verbs,sentiment,verbs,"('verbs', 'sentiment')"
0,sports_pronouns_0,0.4534091055393219,0.5465909242630005,0.8039773106575012,0.1960227340459823,test_only,sports,pronouns,pronouns,"('sports', 'pronouns')"
3,sports_pronouns_0,0.3505682051181793,0.6494318246841431,0.5460227131843567,0.4539773166179657,test_only,sports,pronouns,pronouns,"('sports', 'pronouns')"
0,pronouns_sports_0,0.0806818231940269,0.9193181991577148,0.7170454859733582,0.2829545438289642,test_only,pronouns,sports,sports,"('pronouns', 'sports')"
3,pronouns_sports_0,0.210795447230339,0.7892045378684998,0.7357954382896423,0.2642045617103576,test_only,pronouns,sports,sports,"('pronouns', 'sports')"
0,sentiment_verbs_1,0.8958333730697632,0.1041666716337204,0.890625,0.109375,test_only,sentiment,verbs,sentiment,"('sentiment', 'verbs')"
3,sentiment_verbs_1,0.8645833730697632,0.1354166716337204,0.796875,0.203125,test_only,sentiment,verbs,sentiment,"('sentiment', 'verbs')"
2,verbs_sentiment_1,0.1979166716337204,0.8020833730697632,0.1614583432674408,0.8385416865348816,test_only,verbs,sentiment,verbs,"('verbs', 'sentiment')"
4,verbs_sentiment_1,0.2135416716337204,0.7864583730697632,0.125,0.875,test_only,verbs,sentiment,verbs,"('verbs', 'sentiment')"
0,sentiment_sports_0,0.0,1.0,0.2488636523485183,0.7511364221572876,test_only,sentiment,sports,sports,"('sentiment', 'sports')"
3,sentiment_sports_0,0.018750000745058,0.981249988079071,0.1869318336248397,0.8130682110786438,test_only,sentiment,sports,sports,"('sentiment', 'sports')"
2,sports_pronouns_0,0.3852272927761078,0.6147727370262146,0.7289773225784302,0.2710227370262146,test_only,sports,pronouns,pronouns,"('sports', 'pronouns')"
4,sports_pronouns_0,0.5710226893424988,0.4289773106575012,0.7357954382896423,0.2642045617103576,test_only,sports,pronouns,pronouns,"('sports', 'pronouns')"
0,verbs_sports_0,0.0125000001862645,0.987500011920929,0.4943182170391083,0.5056818127632141,test_only,verbs,sports,sports,"('verbs', 'sports')"
3,verbs_sports_0,0.018750000745058,0.981249988079071,0.4846591055393219,0.5153409242630005,test_only,verbs,sports,sports,"('verbs', 'sports')"
4,pronouns_sports_0,0.2232954502105713,0.7767045497894287,0.943750023841858,0.0562500022351741,test_only,pronouns,sports,sports,"('pronouns', 'sports')"
2,pronouns_sports_0,0.1926136463880539,0.8073863983154297,0.7261363863945007,0.2738636434078216,test_only,pronouns,sports,sports,"('pronouns', 'sports')"
3,sentiment_pronouns_0,0.0,1.0,0.40625,0.59375,test_only,sentiment,pronouns,pronouns,"('sentiment', 'pronouns')"
0,sentiment_pronouns_0,0.0,1.0,0.3802083432674408,0.6197916865348816,test_only,sentiment,pronouns,pronouns,"('sentiment', 'pronouns')"
4,sentiment_verbs_1,0.9010416865348816,0.0989583358168602,0.90625,0.09375,test_only,sentiment,verbs,sentiment,"('sentiment', 'verbs')"
2,sentiment_verbs_1,0.71875,0.28125,0.734375,0.265625,test_only,sentiment,verbs,sentiment,"('sentiment', 'verbs')"
3,verbs_pronouns_0,0.0,1.0,,,test_only,verbs,pronouns,pronouns,"('verbs', 'pronouns')"
0,verbs_pronouns_0,0.0,1.0,,,test_only,verbs,pronouns,pronouns,"('verbs', 'pronouns')"
2,sentiment_sports_0,0.0,1.0,0.2170454561710357,0.7829545736312866,test_only,sentiment,sports,sports,"('sentiment', 'sports')"
4,sentiment_sports_0,0.0062500000931322,0.9937500357627868,0.1988636404275894,0.8011364340782166,test_only,sentiment,sports,sports,"('sentiment', 'sports')"
2,verbs_sports_0,0.0125000001862645,0.987500011920929,0.5221590995788574,0.4778409004211426,test_only,verbs,sports,sports,"('verbs', 'sports')"
4,verbs_sports_0,0.03125,0.96875,0.4664773046970367,0.5335227251052856,test_only,verbs,sports,sports,"('verbs', 'sports')"
1,verbs_sentiment_1,0.15625,0.84375,0.0885416716337204,0.9114583730697632,test_only,verbs,sentiment,verbs,"('verbs', 'sentiment')"
2,sentiment_pronouns_0,0.0,1.0,,,test_only,sentiment,pronouns,pronouns,"('sentiment', 'pronouns')"
4,sentiment_pronouns_0,0.0104166669771075,0.9895833730697632,0.40625,0.59375,test_only,sentiment,pronouns,pronouns,"('sentiment', 'pronouns')"
1,sports_pronouns_0,0.471590906381607,0.5284091234207153,0.7659091353416443,0.2340909093618393,test_only,sports,pronouns,pronouns,"('sports', 'pronouns')"
1,pronouns_sports_0,0.0869318172335624,0.9130682349205016,0.6829545497894287,0.3170454502105713,test_only,pronouns,sports,sports,"('pronouns', 'sports')"
1,sentiment_verbs_1,0.8333333730697632,0.1666666716337204,0.8177083730697632,0.1822916716337204,test_only,sentiment,verbs,sentiment,"('sentiment', 'verbs')"
1,sentiment_sports_0,0.0062500000931322,0.9937500357627868,0.3471591174602508,0.6528409123420715,test_only,sentiment,sports,sports,"('sentiment', 'sports')"
1,verbs_sports_0,0.018750000745058,0.981249988079071,0.5278409123420715,0.4721591174602508,test_only,verbs,sports,sports,"('verbs', 'sports')"
1,sentiment_pronouns_0,0.0104166669771075,0.9895833730697632,0.484375,0.515625,test_only,sentiment,pronouns,pronouns,"('sentiment', 'pronouns')"
1,verbs_pronouns_0,0.0,1.0,0.3843750059604645,0.6156250238418579,test_only,verbs,pronouns,pronouns,"('verbs', 'pronouns')"
2,verbs_pronouns_0,0.0,1.0,0.3937500119209289,0.606249988079071,test_only,verbs,pronouns,pronouns,"('verbs', 'pronouns')"
5,verbs_pronouns_0,0.0,1.0,0.3916666805744171,0.6083333492279053,test_only,verbs,pronouns,pronouns,"('verbs', 'pronouns')"
