dataset_a,dataset_b,intervention,train_accuracy,val_accuracy,test_accuracy,test_accuracy_flipped,seed,dataset_pair,sorted_pair,pair
pronouns,verbs,none,1.0,1.0,0.9967105388641356,0.003289473708719,42,"(pronouns, hc-mats/subject-verb-agreement)","('verbs', 'pronouns')","('pronouns', 'verbs')"
pronouns,verbs,none,1.0,1.0,1.0,0.0,1,"(pronouns, hc-mats/subject-verb-agreement)","('verbs', 'pronouns')","('pronouns', 'verbs')"
pronouns,verbs,none,1.0,1.0,1.0,0.0,2,"(pronouns, hc-mats/subject-verb-agreement)","('verbs', 'pronouns')","('pronouns', 'verbs')"
pronouns,verbs,none,1.0,1.0,1.0,0.0,3,"(pronouns, hc-mats/subject-verb-agreement)","('verbs', 'pronouns')","('pronouns', 'verbs')"
pronouns,verbs,none,1.0,1.0,1.0,0.0,4,"(pronouns, hc-mats/subject-verb-agreement)","('verbs', 'pronouns')","('pronouns', 'verbs')"
verbs,sentiment,none,1.0,0.9659091234207152,0.1136363670229911,0.886363685131073,42,"(hc-mats/subject-verb-agreement, sentiment)","('verbs', 'sentiment')","('verbs', 'sentiment')"
verbs,sentiment,none,1.0,0.9886363744735718,0.4886363744735718,0.5113636255264282,1,"(hc-mats/subject-verb-agreement, sentiment)","('verbs', 'sentiment')","('verbs', 'sentiment')"
verbs,sentiment,none,1.0,0.9772727489471436,0.2159090936183929,0.7840909361839294,2,"(hc-mats/subject-verb-agreement, sentiment)","('verbs', 'sentiment')","('verbs', 'sentiment')"
verbs,sentiment,none,1.0,0.9715909361839294,0.1193181872367858,0.8806818723678589,3,"(hc-mats/subject-verb-agreement, sentiment)","('verbs', 'sentiment')","('verbs', 'sentiment')"
verbs,sentiment,none,1.0,0.970779299736023,0.2556818127632141,0.7443181872367859,4,"(hc-mats/subject-verb-agreement, sentiment)","('verbs', 'sentiment')","('verbs', 'sentiment')"
sentiment,verbs,none,1.0,0.9602273106575012,0.875,0.125,42,"(sentiment, hc-mats/subject-verb-agreement)","('verbs', 'sentiment')","('sentiment', 'verbs')"
sentiment,verbs,none,1.0,0.95941561460495,0.9431818723678588,0.0568181835114955,1,"(sentiment, hc-mats/subject-verb-agreement)","('verbs', 'sentiment')","('sentiment', 'verbs')"
sentiment,verbs,none,1.0,0.9659091234207152,0.9090909361839294,0.0909090936183929,2,"(sentiment, hc-mats/subject-verb-agreement)","('verbs', 'sentiment')","('sentiment', 'verbs')"
sentiment,verbs,none,1.0,0.9829545617103576,0.8181818723678589,0.1818181872367859,3,"(sentiment, hc-mats/subject-verb-agreement)","('verbs', 'sentiment')","('sentiment', 'verbs')"
sentiment,verbs,none,1.0,0.9829545617103576,0.8920454978942871,0.1079545468091964,4,"(sentiment, hc-mats/subject-verb-agreement)","('verbs', 'sentiment')","('sentiment', 'verbs')"
verbs,sports,none,1.0,1.0,0.0125000001862645,0.987500011920929,42,"(hc-mats/subject-verb-agreement, hc-mats/sports-gemma-2-2b-top-1000)","('verbs', 'sports')","('verbs', 'sports')"
verbs,sports,none,1.0,1.0,0.0,1.0,1,"(hc-mats/subject-verb-agreement, hc-mats/sports-gemma-2-2b-top-1000)","('verbs', 'sports')","('verbs', 'sports')"
verbs,sports,none,1.0,0.9937500357627868,0.0062500000931322,0.9937500357627868,2,"(hc-mats/subject-verb-agreement, hc-mats/sports-gemma-2-2b-top-1000)","('verbs', 'sports')","('verbs', 'sports')"
verbs,sports,none,1.0,0.9937500357627868,0.0125000001862645,0.987500011920929,3,"(hc-mats/subject-verb-agreement, hc-mats/sports-gemma-2-2b-top-1000)","('verbs', 'sports')","('verbs', 'sports')"
verbs,sports,none,1.0,0.987500011920929,0.0,1.0,4,"(hc-mats/subject-verb-agreement, hc-mats/sports-gemma-2-2b-top-1000)","('verbs', 'sports')","('verbs', 'sports')"
sports,verbs,none,1.0,0.9937500357627868,1.0,0.0,42,"(hc-mats/sports-gemma-2-2b-top-1000, hc-mats/subject-verb-agreement)","('verbs', 'sports')","('sports', 'verbs')"
sports,verbs,none,1.0,0.987500011920929,0.975000023841858,0.025000000372529,1,"(hc-mats/sports-gemma-2-2b-top-1000, hc-mats/subject-verb-agreement)","('verbs', 'sports')","('sports', 'verbs')"
sports,verbs,none,1.0,1.0,0.9937500357627868,0.0062500000931322,2,"(hc-mats/sports-gemma-2-2b-top-1000, hc-mats/subject-verb-agreement)","('verbs', 'sports')","('sports', 'verbs')"
sports,verbs,none,1.0,0.9937500357627868,1.0,0.0,3,"(hc-mats/sports-gemma-2-2b-top-1000, hc-mats/subject-verb-agreement)","('verbs', 'sports')","('sports', 'verbs')"
sports,verbs,none,1.0,1.0,0.987500011920929,0.0125000001862645,4,"(hc-mats/sports-gemma-2-2b-top-1000, hc-mats/subject-verb-agreement)","('verbs', 'sports')","('sports', 'verbs')"
verbs,synonym-antonym,none,1.0,0.9967105388641356,0.006578947417438,0.9934210777282716,42,"(hc-mats/subject-verb-agreement, synonym-antonym)","('verbs', 'synonym-antonym')","('verbs', 'synonym-antonym')"
verbs,synonym-antonym,none,1.0,0.9967105388641356,0.0197368413209915,0.9802631735801696,1,"(hc-mats/subject-verb-agreement, synonym-antonym)","('verbs', 'synonym-antonym')","('verbs', 'synonym-antonym')"
verbs,synonym-antonym,none,1.0,0.9967105388641356,0.0,1.0,2,"(hc-mats/subject-verb-agreement, synonym-antonym)","('verbs', 'synonym-antonym')","('verbs', 'synonym-antonym')"
verbs,synonym-antonym,none,1.0,0.9868420958518982,0.006578947417438,0.9934210777282716,3,"(hc-mats/subject-verb-agreement, synonym-antonym)","('verbs', 'synonym-antonym')","('verbs', 'synonym-antonym')"
verbs,synonym-antonym,none,1.0,0.989035189151764,0.013157894834876,0.9868420958518982,4,"(hc-mats/subject-verb-agreement, synonym-antonym)","('verbs', 'synonym-antonym')","('verbs', 'synonym-antonym')"
synonym-antonym,verbs,none,1.0,1.0,0.9901315569877625,0.0098684206604957,42,"(synonym-antonym, hc-mats/subject-verb-agreement)","('verbs', 'synonym-antonym')","('synonym-antonym', 'verbs')"
synonym-antonym,verbs,none,1.0,0.9802631735801696,0.970394730567932,0.0296052638441324,1,"(synonym-antonym, hc-mats/subject-verb-agreement)","('verbs', 'synonym-antonym')","('synonym-antonym', 'verbs')"
synonym-antonym,verbs,none,1.0,1.0,0.9934210777282716,0.006578947417438,2,"(synonym-antonym, hc-mats/subject-verb-agreement)","('verbs', 'synonym-antonym')","('synonym-antonym', 'verbs')"
synonym-antonym,verbs,none,1.0,0.9868420958518982,0.983552634716034,0.0164473690092563,3,"(synonym-antonym, hc-mats/subject-verb-agreement)","('verbs', 'synonym-antonym')","('synonym-antonym', 'verbs')"
synonym-antonym,verbs,none,1.0,0.9868420958518982,0.9934210777282716,0.006578947417438,4,"(synonym-antonym, hc-mats/subject-verb-agreement)","('verbs', 'synonym-antonym')","('synonym-antonym', 'verbs')"
languages,pronouns,none,1.0,1.0,0.3607456386089325,0.6392544507980347,42,"(languages, pronouns)","('languages', 'pronouns')","('languages', 'pronouns')"
languages,pronouns,none,1.0,1.0,0.8125,0.1875,1,"(languages, pronouns)","('languages', 'pronouns')","('languages', 'pronouns')"
languages,pronouns,none,1.0,1.0,0.2839912474155426,0.7160087823867798,2,"(languages, pronouns)","('languages', 'pronouns')","('languages', 'pronouns')"
languages,pronouns,none,1.0,0.9967105388641356,0.7072368264198303,0.2927631735801697,3,"(languages, pronouns)","('languages', 'pronouns')","('languages', 'pronouns')"
languages,pronouns,none,1.0,1.0,0.8344298601150513,0.1655701845884323,4,"(languages, pronouns)","('languages', 'pronouns')","('languages', 'pronouns')"
pronouns,languages,none,1.0,1.0,0.0537280738353729,0.9462720155715942,42,"(pronouns, languages)","('languages', 'pronouns')","('pronouns', 'languages')"
pronouns,languages,none,1.0,1.0,0.049342107027769,0.9506579041481018,1,"(pronouns, languages)","('languages', 'pronouns')","('pronouns', 'languages')"
pronouns,languages,none,1.0,1.0,0.0328947380185127,0.967105269432068,2,"(pronouns, languages)","('languages', 'pronouns')","('pronouns', 'languages')"
pronouns,languages,none,1.0,0.9967105388641356,0.0383771955966949,0.9616228342056274,3,"(pronouns, languages)","('languages', 'pronouns')","('pronouns', 'languages')"
pronouns,languages,none,1.0,1.0,0.0504385977983474,0.9495614767074584,4,"(pronouns, languages)","('languages', 'pronouns')","('pronouns', 'languages')"
languages,sentiment,none,1.0,1.0,0.9829545617103576,0.0170454550534486,42,"(languages, sentiment)","('languages', 'sentiment')","('languages', 'sentiment')"
languages,sentiment,none,1.0,0.994318187236786,0.9829545617103576,0.0170454550534486,1,"(languages, sentiment)","('languages', 'sentiment')","('languages', 'sentiment')"
languages,sentiment,none,1.0,1.0,0.9886363744735718,0.0113636367022991,2,"(languages, sentiment)","('languages', 'sentiment')","('languages', 'sentiment')"
languages,sentiment,none,1.0,1.0,0.9829545617103576,0.0170454550534486,3,"(languages, sentiment)","('languages', 'sentiment')","('languages', 'sentiment')"
languages,sentiment,none,1.0,0.9878247380256652,0.994318187236786,0.0056818183511495,4,"(languages, sentiment)","('languages', 'sentiment')","('languages', 'sentiment')"
sentiment,languages,none,1.0,0.9886363744735718,0.0170454550534486,0.9829545617103576,42,"(sentiment, languages)","('languages', 'sentiment')","('sentiment', 'languages')"
sentiment,languages,none,1.0,1.0,0.0113636367022991,0.9886363744735718,1,"(sentiment, languages)","('languages', 'sentiment')","('sentiment', 'languages')"
sentiment,languages,none,1.0,1.0,0.0511363670229911,0.948863685131073,2,"(sentiment, languages)","('languages', 'sentiment')","('sentiment', 'languages')"
sentiment,languages,none,1.0,0.970779299736023,0.0227272734045982,0.9772727489471436,3,"(sentiment, languages)","('languages', 'sentiment')","('sentiment', 'languages')"
sentiment,languages,none,1.0,1.0,0.0340909101068973,0.9659091234207152,4,"(sentiment, languages)","('languages', 'sentiment')","('sentiment', 'languages')"
languages,sports,none,1.0,1.0,0.6625000238418579,0.3375000059604645,42,"(languages, hc-mats/sports-gemma-2-2b-top-1000)","('languages', 'sports')","('languages', 'sports')"
languages,sports,none,1.0,1.0,0.6937500238418579,0.3062500059604645,1,"(languages, hc-mats/sports-gemma-2-2b-top-1000)","('languages', 'sports')","('languages', 'sports')"
languages,sports,none,1.0,1.0,0.6979166865348816,0.3020833432674408,2,"(languages, hc-mats/sports-gemma-2-2b-top-1000)","('languages', 'sports')","('languages', 'sports')"
languages,sports,none,1.0,1.0,0.9333333969116212,0.0666666701436042,3,"(languages, hc-mats/sports-gemma-2-2b-top-1000)","('languages', 'sports')","('languages', 'sports')"
languages,sports,none,1.0,0.9937500357627868,0.7291666865348816,0.2708333432674408,4,"(languages, hc-mats/sports-gemma-2-2b-top-1000)","('languages', 'sports')","('languages', 'sports')"
sports,languages,none,1.0,1.0,0.189583346247673,0.8104166984558105,42,"(hc-mats/sports-gemma-2-2b-top-1000, languages)","('languages', 'sports')","('sports', 'languages')"
sports,languages,none,1.0,0.9937500357627868,0.3145833611488342,0.6854166984558105,1,"(hc-mats/sports-gemma-2-2b-top-1000, languages)","('languages', 'sports')","('sports', 'languages')"
sports,languages,none,1.0,1.0,0.2604166865348816,0.7395833730697632,2,"(hc-mats/sports-gemma-2-2b-top-1000, languages)","('languages', 'sports')","('sports', 'languages')"
sports,languages,none,1.0,1.0,0.2604166865348816,0.7395833730697632,3,"(hc-mats/sports-gemma-2-2b-top-1000, languages)","('languages', 'sports')","('sports', 'languages')"
sports,languages,none,1.0,0.9937500357627868,0.2979166805744171,0.7020833492279053,4,"(hc-mats/sports-gemma-2-2b-top-1000, languages)","('languages', 'sports')","('sports', 'languages')"
languages,synonym-antonym,none,1.0,1.0,0.8168860077857971,0.1831140369176865,42,"(languages, synonym-antonym)","('languages', 'synonym-antonym')","('languages', 'synonym-antonym')"
languages,synonym-antonym,none,1.0,1.0,0.5241228342056274,0.4758772253990173,1,"(languages, synonym-antonym)","('languages', 'synonym-antonym')","('languages', 'synonym-antonym')"
languages,synonym-antonym,none,1.0,1.0,0.8223684430122375,0.1776315867900848,2,"(languages, synonym-antonym)","('languages', 'synonym-antonym')","('languages', 'synonym-antonym')"
languages,synonym-antonym,none,1.0,0.9967105388641356,0.7291666865348816,0.2708333432674408,3,"(languages, synonym-antonym)","('languages', 'synonym-antonym')","('languages', 'synonym-antonym')"
languages,synonym-antonym,none,1.0,0.9901315569877625,0.6885965466499329,0.3114035129547119,4,"(languages, synonym-antonym)","('languages', 'synonym-antonym')","('languages', 'synonym-antonym')"
synonym-antonym,languages,none,1.0,0.9934210777282716,0.0296052638441324,0.970394730567932,42,"(synonym-antonym, languages)","('languages', 'synonym-antonym')","('synonym-antonym', 'languages')"
synonym-antonym,languages,none,1.0,0.9934210777282716,0.1622807085514068,0.8377193212509155,1,"(synonym-antonym, languages)","('languages', 'synonym-antonym')","('synonym-antonym', 'languages')"
synonym-antonym,languages,none,1.0,1.0,0.125,0.875,2,"(synonym-antonym, languages)","('languages', 'synonym-antonym')","('synonym-antonym', 'languages')"
synonym-antonym,languages,none,1.0,1.0,0.0866228118538856,0.913377285003662,3,"(synonym-antonym, languages)","('languages', 'synonym-antonym')","('synonym-antonym', 'languages')"
synonym-antonym,languages,none,1.0,1.0,0.1600877195596695,0.8399122953414917,4,"(synonym-antonym, languages)","('languages', 'synonym-antonym')","('synonym-antonym', 'languages')"
pronouns,sentiment,none,1.0,1.0,1.0,0.0,42,"(pronouns, sentiment)","('pronouns', 'sentiment')","('pronouns', 'sentiment')"
pronouns,sentiment,none,1.0,1.0,0.9715909361839294,0.0284090917557477,1,"(pronouns, sentiment)","('pronouns', 'sentiment')","('pronouns', 'sentiment')"
pronouns,sentiment,none,1.0,1.0,0.9829545617103576,0.0170454550534486,2,"(pronouns, sentiment)","('pronouns', 'sentiment')","('pronouns', 'sentiment')"
pronouns,sentiment,none,1.0,1.0,1.0,0.0,3,"(pronouns, sentiment)","('pronouns', 'sentiment')","('pronouns', 'sentiment')"
pronouns,sentiment,none,1.0,1.0,0.9715909361839294,0.0284090917557477,4,"(pronouns, sentiment)","('pronouns', 'sentiment')","('pronouns', 'sentiment')"
sentiment,pronouns,none,1.0,1.0,0.0,1.0,42,"(sentiment, pronouns)","('pronouns', 'sentiment')","('sentiment', 'pronouns')"
sentiment,pronouns,none,1.0,1.0,0.0,1.0,1,"(sentiment, pronouns)","('pronouns', 'sentiment')","('sentiment', 'pronouns')"
sentiment,pronouns,none,1.0,1.0,0.0056818183511495,0.994318187236786,2,"(sentiment, pronouns)","('pronouns', 'sentiment')","('sentiment', 'pronouns')"
sentiment,pronouns,none,1.0,1.0,0.0,1.0,3,"(sentiment, pronouns)","('pronouns', 'sentiment')","('sentiment', 'pronouns')"
sentiment,pronouns,none,1.0,1.0,0.0,1.0,4,"(sentiment, pronouns)","('pronouns', 'sentiment')","('sentiment', 'pronouns')"
pronouns,sports,none,1.0,0.9937500357627868,0.0895833373069763,0.9104167222976683,42,"(pronouns, hc-mats/sports-gemma-2-2b-top-1000)","('pronouns', 'sports')","('pronouns', 'sports')"
pronouns,sports,none,1.0,1.0,0.104166679084301,0.895833432674408,1,"(pronouns, hc-mats/sports-gemma-2-2b-top-1000)","('pronouns', 'sports')","('pronouns', 'sports')"
pronouns,sports,none,1.0,0.9937500357627868,0.2708333432674408,0.7291666865348816,2,"(pronouns, hc-mats/sports-gemma-2-2b-top-1000)","('pronouns', 'sports')","('pronouns', 'sports')"
pronouns,sports,none,1.0,1.0,0.1208333373069763,0.8791667222976685,3,"(pronouns, hc-mats/sports-gemma-2-2b-top-1000)","('pronouns', 'sports')","('pronouns', 'sports')"
pronouns,sports,none,1.0,1.0,0.1541666835546493,0.845833420753479,4,"(pronouns, hc-mats/sports-gemma-2-2b-top-1000)","('pronouns', 'sports')","('pronouns', 'sports')"
sports,pronouns,none,1.0,0.9937500357627868,0.4875000119209289,0.512499988079071,42,"(hc-mats/sports-gemma-2-2b-top-1000, pronouns)","('pronouns', 'sports')","('sports', 'pronouns')"
sports,pronouns,none,1.0,1.0,0.5916666984558105,0.4083333611488342,1,"(hc-mats/sports-gemma-2-2b-top-1000, pronouns)","('pronouns', 'sports')","('sports', 'pronouns')"
sports,pronouns,none,1.0,0.9937500357627868,0.4666666984558105,0.5333333611488342,2,"(hc-mats/sports-gemma-2-2b-top-1000, pronouns)","('pronouns', 'sports')","('sports', 'pronouns')"
sports,pronouns,none,1.0,1.0,0.5687500238418579,0.4312500059604645,3,"(hc-mats/sports-gemma-2-2b-top-1000, pronouns)","('pronouns', 'sports')","('sports', 'pronouns')"
sports,pronouns,none,1.0,1.0,0.3270833492279053,0.6729167103767395,4,"(hc-mats/sports-gemma-2-2b-top-1000, pronouns)","('pronouns', 'sports')","('sports', 'pronouns')"
pronouns,synonym-antonym,none,1.0,0.9967105388641356,0.0964912325143814,0.9035088419914246,42,"(pronouns, synonym-antonym)","('pronouns', 'synonym-antonym')","('pronouns', 'synonym-antonym')"
pronouns,synonym-antonym,none,1.0,1.0,0.2335526347160339,0.7664473652839661,1,"(pronouns, synonym-antonym)","('pronouns', 'synonym-antonym')","('pronouns', 'synonym-antonym')"
pronouns,synonym-antonym,none,1.0,1.0,0.2182017713785171,0.781798243522644,2,"(pronouns, synonym-antonym)","('pronouns', 'synonym-antonym')","('pronouns', 'synonym-antonym')"
pronouns,synonym-antonym,none,1.0,1.0,0.2368421107530594,0.7631579041481018,3,"(pronouns, synonym-antonym)","('pronouns', 'synonym-antonym')","('pronouns', 'synonym-antonym')"
pronouns,synonym-antonym,none,1.0,1.0,0.1864035129547119,0.8135965466499329,4,"(pronouns, synonym-antonym)","('pronouns', 'synonym-antonym')","('pronouns', 'synonym-antonym')"
synonym-antonym,pronouns,none,1.0,1.0,0.0296052638441324,0.970394730567932,42,"(synonym-antonym, pronouns)","('pronouns', 'synonym-antonym')","('synonym-antonym', 'pronouns')"
synonym-antonym,pronouns,none,1.0,1.0,0.0855263173580169,0.9144737124443054,1,"(synonym-antonym, pronouns)","('pronouns', 'synonym-antonym')","('synonym-antonym', 'pronouns')"
synonym-antonym,pronouns,none,1.0,1.0,0.2050438672304153,0.7949561476707458,2,"(synonym-antonym, pronouns)","('pronouns', 'synonym-antonym')","('synonym-antonym', 'pronouns')"
synonym-antonym,pronouns,none,1.0,1.0,0.0625,0.9375,3,"(synonym-antonym, pronouns)","('pronouns', 'synonym-antonym')","('synonym-antonym', 'pronouns')"
synonym-antonym,pronouns,none,1.0,1.0,0.2006578892469406,0.7993420958518982,4,"(synonym-antonym, pronouns)","('pronouns', 'synonym-antonym')","('synonym-antonym', 'pronouns')"
sentiment,sports,none,0.9166666865348816,0.98333340883255,0.0062500000931322,0.9937500357627868,42,"(sentiment, hc-mats/sports-gemma-2-2b-top-1000)","('sentiment', 'sports')","('sentiment', 'sports')"
sentiment,sports,none,1.0,0.9937500357627868,0.0125000001862645,0.987500011920929,1,"(sentiment, hc-mats/sports-gemma-2-2b-top-1000)","('sentiment', 'sports')","('sentiment', 'sports')"
sentiment,sports,none,1.0,0.9937500357627868,0.0437499992549419,0.956250011920929,2,"(sentiment, hc-mats/sports-gemma-2-2b-top-1000)","('sentiment', 'sports')","('sentiment', 'sports')"
sentiment,sports,none,1.0,1.0,0.0,1.0,3,"(sentiment, hc-mats/sports-gemma-2-2b-top-1000)","('sentiment', 'sports')","('sentiment', 'sports')"
sentiment,sports,none,1.0,0.9937500357627868,0.0062500000931322,0.9937500357627868,4,"(sentiment, hc-mats/sports-gemma-2-2b-top-1000)","('sentiment', 'sports')","('sentiment', 'sports')"
sports,sentiment,none,1.0,1.0,0.981249988079071,0.018750000745058,42,"(hc-mats/sports-gemma-2-2b-top-1000, sentiment)","('sentiment', 'sports')","('sports', 'sentiment')"
sports,sentiment,none,1.0,1.0,0.987500011920929,0.0125000001862645,1,"(hc-mats/sports-gemma-2-2b-top-1000, sentiment)","('sentiment', 'sports')","('sports', 'sentiment')"
sports,sentiment,none,1.0,1.0,0.9937500357627868,0.0062500000931322,2,"(hc-mats/sports-gemma-2-2b-top-1000, sentiment)","('sentiment', 'sports')","('sports', 'sentiment')"
sports,sentiment,none,1.0,1.0,0.987500011920929,0.0125000001862645,3,"(hc-mats/sports-gemma-2-2b-top-1000, sentiment)","('sentiment', 'sports')","('sports', 'sentiment')"
sports,sentiment,none,1.0,0.9937500357627868,0.814583420753479,0.1854166835546493,4,"(hc-mats/sports-gemma-2-2b-top-1000, sentiment)","('sentiment', 'sports')","('sports', 'sentiment')"
sentiment,synonym-antonym,none,1.0,0.994318187236786,0.0284090917557477,0.9715909361839294,42,"(sentiment, synonym-antonym)","('sentiment', 'synonym-antonym')","('sentiment', 'synonym-antonym')"
sentiment,synonym-antonym,none,1.0,1.0,0.0227272734045982,0.9772727489471436,1,"(sentiment, synonym-antonym)","('sentiment', 'synonym-antonym')","('sentiment', 'synonym-antonym')"
sentiment,synonym-antonym,none,1.0,0.9886363744735718,0.0056818183511495,0.994318187236786,2,"(sentiment, synonym-antonym)","('sentiment', 'synonym-antonym')","('sentiment', 'synonym-antonym')"
sentiment,synonym-antonym,none,1.0,0.9829545617103576,0.0170454550534486,0.9829545617103576,3,"(sentiment, synonym-antonym)","('sentiment', 'synonym-antonym')","('sentiment', 'synonym-antonym')"
sentiment,synonym-antonym,none,1.0,0.9886363744735718,0.0170454550534486,0.9829545617103576,4,"(sentiment, synonym-antonym)","('sentiment', 'synonym-antonym')","('sentiment', 'synonym-antonym')"
synonym-antonym,sentiment,none,1.0,1.0,0.886363685131073,0.1136363670229911,42,"(synonym-antonym, sentiment)","('sentiment', 'synonym-antonym')","('synonym-antonym', 'sentiment')"
synonym-antonym,sentiment,none,1.0,0.9886363744735718,0.9715909361839294,0.0284090917557477,1,"(synonym-antonym, sentiment)","('sentiment', 'synonym-antonym')","('synonym-antonym', 'sentiment')"
synonym-antonym,sentiment,none,1.0,0.9772727489471436,0.9147727489471436,0.0852272734045982,2,"(synonym-antonym, sentiment)","('sentiment', 'synonym-antonym')","('synonym-antonym', 'sentiment')"
synonym-antonym,sentiment,none,1.0,0.9537338018417358,0.9659091234207152,0.0340909101068973,3,"(synonym-antonym, sentiment)","('sentiment', 'synonym-antonym')","('synonym-antonym', 'sentiment')"
synonym-antonym,sentiment,none,1.0,0.9886363744735718,0.9715909361839294,0.0284090917557477,4,"(synonym-antonym, sentiment)","('sentiment', 'synonym-antonym')","('synonym-antonym', 'sentiment')"
sports,synonym-antonym,none,1.0,1.0,0.7833333611488342,0.2166666835546493,42,"(hc-mats/sports-gemma-2-2b-top-1000, synonym-antonym)","('sports', 'synonym-antonym')","('sports', 'synonym-antonym')"
sports,synonym-antonym,none,1.0,1.0,0.491666704416275,0.5083333849906921,1,"(hc-mats/sports-gemma-2-2b-top-1000, synonym-antonym)","('sports', 'synonym-antonym')","('sports', 'synonym-antonym')"
sports,synonym-antonym,none,1.0,0.987500011920929,0.7666667103767395,0.2333333492279052,2,"(hc-mats/sports-gemma-2-2b-top-1000, synonym-antonym)","('sports', 'synonym-antonym')","('sports', 'synonym-antonym')"
sports,synonym-antonym,none,1.0,1.0,0.7708333730697632,0.2291666716337204,3,"(hc-mats/sports-gemma-2-2b-top-1000, synonym-antonym)","('sports', 'synonym-antonym')","('sports', 'synonym-antonym')"
sports,synonym-antonym,none,1.0,1.0,0.3375000059604645,0.6625000238418579,4,"(hc-mats/sports-gemma-2-2b-top-1000, synonym-antonym)","('sports', 'synonym-antonym')","('sports', 'synonym-antonym')"
synonym-antonym,sports,none,1.0,1.0,0.0625,0.9375,42,"(synonym-antonym, hc-mats/sports-gemma-2-2b-top-1000)","('sports', 'synonym-antonym')","('synonym-antonym', 'sports')"
synonym-antonym,sports,none,1.0,1.0,0.09375,0.90625,1,"(synonym-antonym, hc-mats/sports-gemma-2-2b-top-1000)","('sports', 'synonym-antonym')","('synonym-antonym', 'sports')"
synonym-antonym,sports,none,1.0,1.0,0.1208333373069763,0.8791667222976685,2,"(synonym-antonym, hc-mats/sports-gemma-2-2b-top-1000)","('sports', 'synonym-antonym')","('synonym-antonym', 'sports')"
synonym-antonym,sports,none,1.0,1.0,0.2229166775941848,0.7770833373069763,3,"(synonym-antonym, hc-mats/sports-gemma-2-2b-top-1000)","('sports', 'synonym-antonym')","('synonym-antonym', 'sports')"
synonym-antonym,sports,none,1.0,0.9937500357627868,0.1125000044703483,0.887499988079071,4,"(synonym-antonym, hc-mats/sports-gemma-2-2b-top-1000)","('sports', 'synonym-antonym')","('synonym-antonym', 'sports')"
