pair,seed,test_accuracy,test_accuracy_flipped,train_accuracy,no_interventions_accuracy,no_interventions_accuracy_flipped,intervention,dataset_a,dataset_b,ablated_dataset
verbs_sports_0_s3_top_intervention,3,0.6863636374473572,0.3136363625526428,0.6666666865348816,0.3267045617103576,,top_intervention,verbs,sports,sports
sentiment_pronouns_0_s3_top_intervention,3,0.0,1.0,1.0,0.46875,,top_intervention,sentiment,pronouns,pronouns
verbs_pronouns_0_s3_top_intervention,3,0.0,1.0,1.0,0.4208333492279053,,top_intervention,verbs,pronouns,pronouns
sports_pronouns_0_s4_top_intervention,4,0.0,1.0,1.0,0.146590918302536,,top_intervention,sports,pronouns,pronouns
pronouns_sports_0_s4_top_intervention,4,1.0,0.0,1.0,0.0340909101068973,,top_intervention,pronouns,sports,sports
sentiment_sports_0_s4_top_intervention,4,0.5369318127632141,0.4630682170391083,0.75,0.4659090936183929,,top_intervention,sentiment,sports,sports
verbs_sports_0_s4_top_intervention,4,0.7670454382896423,0.2329545468091964,1.0,0.3051136434078216,,top_intervention,verbs,sports,sports
sentiment_pronouns_0_s4_top_intervention,4,0.0,1.0,1.0,0.4635416865348816,,top_intervention,sentiment,pronouns,pronouns
verbs_pronouns_0_s4_top_intervention,4,0.0,1.0,1.0,0.3875000178813934,,top_intervention,verbs,pronouns,pronouns
verbs_sentiment_1_s0_intervention,0,0.1979166716337204,0.8020833730697632,1.0,0.1927083432674408,0.8072916865348816,none,verbs,sentiment,verbs
sentiment_verbs_1_s0_intervention,0,0.015625,0.984375,1.0,0.1979166716337204,0.8020833730697632,none,sentiment,verbs,sentiment
verbs_sentiment_1_s1_intervention,1,0.1041666716337204,0.8958333730697632,1.0,0.1041666716337204,0.8958333730697632,none,verbs,sentiment,verbs
sentiment_verbs_1_s1_intervention,1,0.0104166669771075,0.9895833730697632,1.0,0.3020833432674408,0.6979166865348816,none,sentiment,verbs,sentiment
verbs_sentiment_1_s2_intervention,2,0.140625,0.859375,1.0,0.1145833358168602,0.8854166865348816,none,verbs,sentiment,verbs
sentiment_verbs_1_s2_intervention,2,0.0104166669771075,0.9895833730697632,1.0,0.0677083358168602,0.9322916865348816,none,sentiment,verbs,sentiment
verbs_sentiment_1_s3_intervention,3,0.3229166865348816,0.6770833730697632,1.0,0.2708333432674408,0.7291666865348816,none,verbs,sentiment,verbs
sentiment_verbs_1_s3_intervention,3,0.0104166669771075,0.9895833730697632,1.0,0.2604166865348816,0.7395833730697632,none,sentiment,verbs,sentiment
verbs_sentiment_1_s4_intervention,4,0.203125,0.796875,1.0,0.1979166716337204,0.8020833730697632,none,verbs,sentiment,verbs
sentiment_verbs_1_s4_intervention,4,0.0052083334885537,0.9947916865348816,1.0,0.0572916679084301,0.9427083730697632,none,sentiment,verbs,sentiment
verbs_sentiment_1_s0_random_intervention,0,0.140625,0.859375,1.0,0.1458333432674408,0.8541666865348816,random_intervention,verbs,sentiment,verbs
sentiment_verbs_1_s0_random_intervention,0,0.8697916865348816,0.1302083432674408,1.0,0.7604166865348816,0.2395833432674408,random_intervention,sentiment,verbs,sentiment
verbs_sentiment_1_s1_random_intervention,1,0.09375,0.90625,1.0,0.09375,0.90625,random_intervention,verbs,sentiment,verbs
sentiment_verbs_1_s1_random_intervention,1,0.4010416865348816,0.5989583730697632,1.0,0.546875,0.453125,random_intervention,sentiment,verbs,sentiment
verbs_sentiment_1_s2_random_intervention,2,0.1666666716337204,0.8333333730697632,1.0,0.1614583432674408,0.8385416865348816,random_intervention,verbs,sentiment,verbs
sentiment_verbs_1_s2_random_intervention,2,0.0520833358168602,0.9479166865348816,1.0,0.2604166865348816,0.7395833730697632,random_intervention,sentiment,verbs,sentiment
verbs_sentiment_1_s3_random_intervention,3,0.09375,0.90625,0.9375,0.0885416716337204,0.9114583730697632,random_intervention,verbs,sentiment,verbs
sentiment_verbs_1_s3_random_intervention,3,0.4375,0.5625,1.0,0.609375,0.390625,random_intervention,sentiment,verbs,sentiment
verbs_sentiment_1_s4_random_intervention,4,0.1510416716337204,0.8489583730697632,1.0,0.15625,0.84375,random_intervention,verbs,sentiment,verbs
sentiment_verbs_1_s4_random_intervention,4,0.9322916865348816,0.0677083358168602,1.0,0.9166666865348816,0.0833333358168602,random_intervention,sentiment,verbs,sentiment
verbs_sentiment_1_s0_top_intervention,0,0.4166666865348816,0.5833333730697632,0.8125,0.4739583432674408,0.5104166865348816,top_intervention,verbs,sentiment,verbs
sentiment_verbs_1_s0_top_intervention,0,0.578125,0.421875,1.0,0.5572916865348816,0.4427083432674408,top_intervention,sentiment,verbs,sentiment
verbs_sentiment_1_s1_top_intervention,1,0.3854166865348816,0.6145833730697632,0.5625,0.5052083730697632,0.4947916865348816,top_intervention,verbs,sentiment,verbs
sentiment_verbs_1_s1_top_intervention,1,0.5052083730697632,0.4947916865348816,0.75,0.5729166865348816,0.4270833432674408,top_intervention,sentiment,verbs,sentiment
verbs_sentiment_1_s2_top_intervention,2,0.4635416865348816,0.5364583730697632,0.875,0.53125,0.46875,top_intervention,verbs,sentiment,verbs
sentiment_verbs_1_s2_top_intervention,2,0.53125,0.46875,0.8125,0.59375,0.40625,top_intervention,sentiment,verbs,sentiment
verbs_sentiment_1_s3_top_intervention,3,0.453125,0.546875,0.6875,0.5104166865348816,0.484375,top_intervention,verbs,sentiment,verbs
sentiment_verbs_1_s3_top_intervention,3,0.5520833730697632,0.4479166865348816,0.75,0.6354166865348816,0.3645833432674408,top_intervention,sentiment,verbs,sentiment
verbs_sentiment_1_s4_top_intervention,4,0.3333333432674408,0.6666666865348816,0.75,0.484375,0.5052083730697632,top_intervention,verbs,sentiment,verbs
sentiment_verbs_1_s4_top_intervention,4,0.5416666865348816,0.4583333432674408,0.8125,0.5885416865348816,0.4114583432674408,top_intervention,sentiment,verbs,sentiment
