dataset_a,dataset_b,intervention,ablated_dataset,train_accuracy,val_accuracy,val_intervention_accuracy,test_accuracy,test_accuracy_flipped,test_intervention_accuracy,test_intervention_accuracy_flipped,seed,dataset_pair,sorted_pair,pair
pronouns,sentiment,sae ablation,pronouns,1.0,0.8847403526306152,1.0,0.4375,0.5625,0.9829545617103576,0.0170454550534486,0,"(pronouns, sentiment)","('pronouns', 'sentiment')","('pronouns', 'sentiment')"
pronouns,sentiment,sae ablation,pronouns,1.0,0.9017857909202576,1.0,0.4545454680919647,0.5454545617103577,0.9545454978942872,0.0454545468091964,1,"(pronouns, sentiment)","('pronouns', 'sentiment')","('pronouns', 'sentiment')"
pronouns,sentiment,sae ablation,pronouns,1.0,0.8806818723678589,1.0,0.5056818127632141,0.4943181872367859,1.0,0.0,2,"(pronouns, sentiment)","('pronouns', 'sentiment')","('pronouns', 'sentiment')"
pronouns,sentiment,sae ablation,pronouns,1.0,0.95941561460495,1.0,0.4715909361839294,0.5284091234207153,0.9772727489471436,0.0227272734045982,3,"(pronouns, sentiment)","('pronouns', 'sentiment')","('pronouns', 'sentiment')"
pronouns,sentiment,sae ablation,pronouns,1.0,0.9537338018417358,1.0,0.6590909361839294,0.3409090936183929,0.9772727489471436,0.0227272734045982,4,"(pronouns, sentiment)","('pronouns', 'sentiment')","('pronouns', 'sentiment')"
sentiment,pronouns,sae ablation,pronouns,1.0,1.0,1.0,0.0909090936183929,0.9090909361839294,0.0,1.0,3,"(sentiment, pronouns)","('pronouns', 'sentiment')","('sentiment', 'pronouns')"
sentiment,pronouns,sae ablation,pronouns,1.0,0.9772727489471436,1.0,0.1306818276643753,0.8693181872367859,0.0170454550534486,0.9829545617103576,4,"(sentiment, pronouns)","('pronouns', 'sentiment')","('sentiment', 'pronouns')"
sentiment,pronouns,sae ablation,pronouns,1.0,0.994318187236786,1.0,0.2102272808551788,0.7897727489471436,0.0284090917557477,0.9715909361839294,0,"(sentiment, pronouns)","('pronouns', 'sentiment')","('sentiment', 'pronouns')"
sentiment,pronouns,sae ablation,pronouns,1.0,0.9602273106575012,1.0,0.2102272808551788,0.7897727489471436,0.0056818183511495,0.994318187236786,1,"(sentiment, pronouns)","('pronouns', 'sentiment')","('sentiment', 'pronouns')"
sentiment,pronouns,sae ablation,pronouns,1.0,0.9821429252624512,1.0,0.1306818276643753,0.8693181872367859,0.0170454550534486,0.9829545617103576,2,"(sentiment, pronouns)","('pronouns', 'sentiment')","('sentiment', 'pronouns')"
pronouns,sports,sae ablation,sports,1.0,1.0,1.0,0.9937500357627868,0.0062500000931322,1.0,0.0,0,"(pronouns, [XXX]/sports-gemma-2-2b-top-1000)","('pronouns', 'sports')","('pronouns', 'sports')"
pronouns,sports,sae ablation,pronouns,1.0,0.987500011920929,0.9937500357627868,0.03125,0.96875,0.0541666708886623,0.945833384990692,0,"(pronouns, [XXX]/sports-gemma-2-2b-top-1000)","('pronouns', 'sports')","('pronouns', 'sports')"
pronouns,sports,sae ablation,sports,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1,"(pronouns, [XXX]/sports-gemma-2-2b-top-1000)","('pronouns', 'sports')","('pronouns', 'sports')"
pronouns,sports,sae ablation,pronouns,1.0,0.9937500357627868,0.9937500357627868,0.018750000745058,0.981249988079071,0.0562500022351741,0.943750023841858,1,"(pronouns, [XXX]/sports-gemma-2-2b-top-1000)","('pronouns', 'sports')","('pronouns', 'sports')"
pronouns,sports,sae ablation,sports,1.0,0.9937500357627868,1.0,0.9937500357627868,0.0062500000931322,1.0,0.0,2,"(pronouns, [XXX]/sports-gemma-2-2b-top-1000)","('pronouns', 'sports')","('pronouns', 'sports')"
pronouns,sports,sae ablation,pronouns,1.0,1.0,1.0,0.0291666686534881,0.970833420753479,0.0666666701436042,0.9333333969116212,2,"(pronouns, [XXX]/sports-gemma-2-2b-top-1000)","('pronouns', 'sports')","('pronouns', 'sports')"
pronouns,sports,sae ablation,sports,1.0,1.0,1.0,0.96875,0.03125,0.9937500357627868,0.0062500000931322,3,"(pronouns, [XXX]/sports-gemma-2-2b-top-1000)","('pronouns', 'sports')","('pronouns', 'sports')"
pronouns,sports,sae ablation,sports,1.0,1.0,1.0,1.0,0.0,1.0,0.0,4,"(pronouns, [XXX]/sports-gemma-2-2b-top-1000)","('pronouns', 'sports')","('pronouns', 'sports')"
pronouns,sports,sae ablation,pronouns,1.0,1.0,1.0,0.0333333350718021,0.9666666984558104,0.0645833387970924,0.9354166984558104,3,"(pronouns, [XXX]/sports-gemma-2-2b-top-1000)","('pronouns', 'sports')","('pronouns', 'sports')"
pronouns,sports,sae ablation,pronouns,1.0,0.9937500357627868,1.0,0.050000000745058,0.949999988079071,0.0562500022351741,0.943750023841858,4,"(pronouns, [XXX]/sports-gemma-2-2b-top-1000)","('pronouns', 'sports')","('pronouns', 'sports')"
sports,pronouns,sae ablation,pronouns,1.0,1.0,1.0,0.6708333492279053,0.3291666805744171,0.793749988079071,0.2062499970197677,0,"([XXX]/sports-gemma-2-2b-top-1000, pronouns)","('pronouns', 'sports')","('sports', 'pronouns')"
sports,pronouns,sae ablation,sports,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0,"([XXX]/sports-gemma-2-2b-top-1000, pronouns)","('pronouns', 'sports')","('sports', 'pronouns')"
sports,pronouns,sae ablation,pronouns,1.0,1.0,1.0,0.2250000089406967,0.7750000357627869,0.3666666746139526,0.6333333849906921,1,"([XXX]/sports-gemma-2-2b-top-1000, pronouns)","('pronouns', 'sports')","('sports', 'pronouns')"
sports,pronouns,sae ablation,sports,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1,"([XXX]/sports-gemma-2-2b-top-1000, pronouns)","('pronouns', 'sports')","('sports', 'pronouns')"
sports,pronouns,sae ablation,pronouns,1.0,1.0,1.0,0.7708333730697632,0.2291666716337204,0.8520833849906921,0.1479166746139526,2,"([XXX]/sports-gemma-2-2b-top-1000, pronouns)","('pronouns', 'sports')","('sports', 'pronouns')"
sports,pronouns,sae ablation,sports,1.0,1.0,0.9937500357627868,0.025000000372529,0.975000023841858,0.0,1.0,2,"([XXX]/sports-gemma-2-2b-top-1000, pronouns)","('pronouns', 'sports')","('sports', 'pronouns')"
sports,pronouns,sae ablation,pronouns,1.0,1.0,1.0,0.6333333849906921,0.3666666746139526,0.845833420753479,0.1541666835546493,3,"([XXX]/sports-gemma-2-2b-top-1000, pronouns)","('pronouns', 'sports')","('sports', 'pronouns')"
sports,pronouns,sae ablation,pronouns,1.0,0.9937500357627868,1.0,0.71875,0.28125,0.8187500238418579,0.1812500059604644,4,"([XXX]/sports-gemma-2-2b-top-1000, pronouns)","('pronouns', 'sports')","('sports', 'pronouns')"
sports,pronouns,sae ablation,sports,1.0,1.0,1.0,0.0,1.0,0.0,1.0,3,"([XXX]/sports-gemma-2-2b-top-1000, pronouns)","('pronouns', 'sports')","('sports', 'pronouns')"
sports,pronouns,sae ablation,sports,1.0,1.0,1.0,0.0,1.0,0.0,1.0,4,"([XXX]/sports-gemma-2-2b-top-1000, pronouns)","('pronouns', 'sports')","('sports', 'pronouns')"
sentiment,sports,sae ablation,sports,1.0,1.0,0.975000023841858,0.3645833432674408,0.6354166865348816,0.6416667103767395,0.3583333492279053,0,"(sentiment, [XXX]/sports-gemma-2-2b-top-1000)","('sentiment', 'sports')","('sentiment', 'sports')"
sentiment,sports,sae ablation,sports,1.0,1.0,0.956250011920929,0.0979166701436042,0.9020833969116212,0.4208333492279053,0.5791667103767395,1,"(sentiment, [XXX]/sports-gemma-2-2b-top-1000)","('sentiment', 'sports')","('sentiment', 'sports')"
sentiment,sports,sae ablation,sports,1.0,0.9937500357627868,0.975000023841858,0.2229166775941848,0.7770833373069763,0.512499988079071,0.4875000119209289,2,"(sentiment, [XXX]/sports-gemma-2-2b-top-1000)","('sentiment', 'sports')","('sentiment', 'sports')"
sentiment,sports,sae ablation,sports,1.0,1.0,0.96875,0.2062499970197677,0.793749988079071,0.5729166865348816,0.4270833432674408,3,"(sentiment, [XXX]/sports-gemma-2-2b-top-1000)","('sentiment', 'sports')","('sentiment', 'sports')"
sentiment,sports,sae ablation,sports,1.0,0.96875,0.943750023841858,0.2041666805744171,0.7958333492279053,0.4229167103767395,0.5770833492279053,4,"(sentiment, [XXX]/sports-gemma-2-2b-top-1000)","('sentiment', 'sports')","('sentiment', 'sports')"
sports,sentiment,sae ablation,sports,1.0,1.0,0.981249988079071,0.7895833849906921,0.2104166746139526,0.375,0.625,0,"([XXX]/sports-gemma-2-2b-top-1000, sentiment)","('sentiment', 'sports')","('sports', 'sentiment')"
sports,sentiment,sae ablation,sports,1.0,1.0,0.981249988079071,0.7875000238418579,0.2125000059604644,0.4333333671092987,0.5666667222976685,1,"([XXX]/sports-gemma-2-2b-top-1000, sentiment)","('sentiment', 'sports')","('sports', 'sentiment')"
sports,sentiment,sae ablation,sports,1.0,0.9937500357627868,0.987500011920929,0.7520833611488342,0.2479166835546493,0.2958333492279053,0.7041667103767395,2,"([XXX]/sports-gemma-2-2b-top-1000, sentiment)","('sentiment', 'sports')","('sports', 'sentiment')"
sports,sentiment,sae ablation,sports,1.0,1.0,0.9375,0.6854166984558105,0.3145833611488342,0.3270833492279053,0.6729167103767395,3,"([XXX]/sports-gemma-2-2b-top-1000, sentiment)","('sentiment', 'sports')","('sports', 'sentiment')"
sports,sentiment,sae ablation,sports,1.0,0.9937500357627868,0.975000023841858,0.7479166984558105,0.2520833611488342,0.3458333611488342,0.6541666984558105,4,"([XXX]/sports-gemma-2-2b-top-1000, sentiment)","('sentiment', 'sports')","('sports', 'sentiment')"
