question,correct,incorrect
What is the sentiment of the following sentence? A marvel of production design.,positive,negative
What is the sentiment of the following sentence? A poignant comedy that offers food for thought.,positive,negative
What is the sentiment of the following sentence? ...hokey art house pretension.,negative,positive
What is the sentiment of the following sentence? Delivers roughly equal amounts of beautiful movement and inside information.,positive,negative
What is the sentiment of the following sentence? The movie's blatant derivativeness is one reason it's so lackluster.,negative,positive
"What is the sentiment of the following sentence? Thought-provoking and stylish, if also somewhat hermetic.",positive,negative
What is the sentiment of the following sentence? Strange and beautiful film.,positive,negative
"What is the sentiment of the following sentence? I've never bought from telemarketers, but I bought this movie.",positive,negative
What is the sentiment of the following sentence? Painfully padded.,negative,positive
What is the sentiment of the following sentence? Collapses under its own meager weight.,negative,positive
What is the sentiment of the following sentence? Has a solid emotional impact.,positive,negative
What is the sentiment of the following sentence? A Movie to Forget,negative,positive
What is the sentiment of the following sentence? Bottom-rung New Jack City wannabe.,negative,positive
What is the sentiment of the following sentence? Hoffman's performance is authentic to the core of his being.,positive,negative
What is the sentiment of the following sentence? Horrible.,negative,positive
"What is the sentiment of the following sentence? Best indie of the year, so far.",positive,negative
What is the sentiment of the following sentence? Well-meant but unoriginal.,negative,positive
What is the sentiment of the following sentence? The cumulative effect of the movie is repulsive and depressing.,negative,positive
What is the sentiment of the following sentence? Mordantly funny and intimately knowing ...,positive,negative
"What is the sentiment of the following sentence? Weighted down with slow, uninvolving storytelling and flat acting.",negative,positive
"What is the sentiment of the following sentence? A markedly inactive film, City is conversational bordering on confessional.",negative,positive
What is the sentiment of the following sentence? ...begins on a high note and sustains it beautifully.,positive,negative
"What is the sentiment of the following sentence? director Hoffman, his writer and Kline's agent should serve detention",negative,positive
"What is the sentiment of the following sentence? Guy gets girl, guy loses girl, audience falls asleep.",negative,positive
"What is the sentiment of the following sentence? the film never rises above a conventional, two dimension tale",negative,positive
"What is the sentiment of the following sentence? Laughably, irredeemably awful.",negative,positive
"What is the sentiment of the following sentence? Romantic, riveting and handsomely animated.",positive,negative
"What is the sentiment of the following sentence? A classy, sprightly spin on film.",positive,negative
"What is the sentiment of the following sentence? Witty, vibrant, and intelligent.",positive,negative
What is the sentiment of the following sentence? Never once predictable.,positive,negative
What is the sentiment of the following sentence? Harmless fun.,positive,negative
What is the sentiment of the following sentence? ...bibbidy-bobbidi-bland.,negative,positive
"What is the sentiment of the following sentence? A dull, inconsistent, dishonest female bonding picture.",negative,positive
What is the sentiment of the following sentence? A compelling story of musical passion against governmental odds.,positive,negative
What is the sentiment of the following sentence? Exciting documentary.,positive,negative
What is the sentiment of the following sentence? Throw Smoochy from the train!,negative,positive
What is the sentiment of the following sentence? A modestly surprising movie.,positive,negative
What is the sentiment of the following sentence? The premise of Jason X is silly but strangely believable.,positive,negative
"What is the sentiment of the following sentence? This is a dark, gritty, sometimes funny little gem.",positive,negative
What is the sentiment of the following sentence? A fairly harmless but ultimately lifeless feature-length afterschool special.,negative,positive
What is the sentiment of the following sentence? Staggeringly dreadful romance.,negative,positive
What is the sentiment of the following sentence? Final verdict: You've seen it all before.,negative,positive
What is the sentiment of the following sentence? An enjoyable feel-good family comedy regardless of race.,positive,negative
What is the sentiment of the following sentence? Oscar caliber cast doesn't live up to material,negative,positive
"What is the sentiment of the following sentence? It's funny, as the old saying goes, because it's true.",positive,negative
What is the sentiment of the following sentence? The trashy teen-sleaze equivalent of Showgirls.,negative,positive
What is the sentiment of the following sentence? Gooding offers a desperately ingratiating performance.,negative,positive
What is the sentiment of the following sentence? Neatly constructed thriller.,positive,negative
What is the sentiment of the following sentence? A chilling movie without oppressive gore.,positive,negative
What is the sentiment of the following sentence? The story has little wit and no surprises.,negative,positive
What is the sentiment of the following sentence? Its rawness and vitality give it considerable punch.,positive,negative
What is the sentiment of the following sentence? A dazzling dream of a documentary.,positive,negative
What is the sentiment of the following sentence? Manages to delight without much of a story.,positive,negative
"What is the sentiment of the following sentence? Enormously enjoyable, high-adrenaline documentary.",positive,negative
What is the sentiment of the following sentence? A thought-provoking picture.,positive,negative
What is the sentiment of the following sentence? Aggravating and tedious.,negative,positive
What is the sentiment of the following sentence? A lot smarter than your average Bond.,positive,negative
"What is the sentiment of the following sentence? Too much power, not enough puff.",negative,positive
"What is the sentiment of the following sentence? She may not be real, but the laughs are.",positive,negative
"What is the sentiment of the following sentence? Entirely suspenseful, extremely well-paced and ultimately... dare I say, entertaining!",positive,negative
"What is the sentiment of the following sentence? ...a solid, well-formed satire.",positive,negative
What is the sentiment of the following sentence? Low comedy doesn't come much lower.,negative,positive
What is the sentiment of the following sentence? A winning and wildly fascinating work.,positive,negative
What is the sentiment of the following sentence? Rarely has a film's title served such dire warning.,negative,positive
What is the sentiment of the following sentence? Works as pretty contagious fun.,positive,negative
"What is the sentiment of the following sentence? It's as if Allen, at 66, has stopped challenging himself.",negative,positive
What is the sentiment of the following sentence? A small gem from Belgium.,positive,negative
What is the sentiment of the following sentence? A gift to anyone who loves both dance and cinema,positive,negative
What is the sentiment of the following sentence? Constantly slips from the grasp of its maker.,negative,positive
What is the sentiment of the following sentence? Beautifully produced.,positive,negative
What is the sentiment of the following sentence? Feels strangely hollow at its emotional core.,negative,positive
What is the sentiment of the following sentence? Schrader examines Crane's decline with unblinking candor.,positive,negative
What is the sentiment of the following sentence? Cinematic poo.,negative,positive
"What is the sentiment of the following sentence? By turns pretentious, fascinating, ludicrous, provocative and vainglorious.",positive,negative
What is the sentiment of the following sentence? An effortlessly accomplished and richly resonant work.,positive,negative
"What is the sentiment of the following sentence? This is a truly, truly bad movie.",negative,positive
What is the sentiment of the following sentence? A little better than Sorcerer's Stone.,positive,negative
What is the sentiment of the following sentence? Ian Holm conquers France as an earthy Napoleon,positive,negative
What is the sentiment of the following sentence? Manages to be wholesome and subversive at the same time.,positive,negative
What is the sentiment of the following sentence? A manically generous Christmas vaudeville.,positive,negative
What is the sentiment of the following sentence? What a pity ... that the material is so second-rate.,negative,positive
What is the sentiment of the following sentence? Cusack's just brilliant in this.,positive,negative
"What is the sentiment of the following sentence? Pretty much sucks, but has a funny moment or two.",negative,positive
What is the sentiment of the following sentence? Meticulously uncovers a trail of outrageous force and craven concealment.,positive,negative
What is the sentiment of the following sentence? No surprises.,negative,positive
What is the sentiment of the following sentence? An unexpectedly sweet story of sisterhood.,positive,negative
What is the sentiment of the following sentence? Steers refreshingly clear of the usual cliches.,positive,negative
"What is the sentiment of the following sentence? Just another disjointed, fairly predictable psychological thriller.",negative,positive
What is the sentiment of the following sentence? This is no ``Waterboy!'',negative,positive
What is the sentiment of the following sentence? I liked this film a lot...,positive,negative
"What is the sentiment of the following sentence? Complex, sinuously plotted and, somehow, off-puttingly cold.",negative,positive
What is the sentiment of the following sentence? A haunting tale of murder and mayhem.,positive,negative
What is the sentiment of the following sentence? Ya-Yas everywhere will forgive the flaws and love the film.,positive,negative
What is the sentiment of the following sentence? ...quite good at providing some good old fashioned spooks.,positive,negative
What is the sentiment of the following sentence? This is a superior horror flick.,positive,negative
What is the sentiment of the following sentence? Skip the film and buy the Philip Glass soundtrack CD.,negative,positive
What is the sentiment of the following sentence? A flick about our infantilized culture that isn't entirely infantile.,positive,negative
What is the sentiment of the following sentence? A very charming and funny movie.,positive,negative
"What is the sentiment of the following sentence? ... there's a choppy, surface-effect feeling to the whole enterprise.",negative,positive
What is the sentiment of the following sentence? Michel Piccoli's moving performance is this films reason for being.,positive,negative
What is the sentiment of the following sentence? As saccharine as it is disposable.,negative,positive
What is the sentiment of the following sentence? overburdened with complicated plotting and banal dialogue,negative,positive
What is the sentiment of the following sentence? Worth seeing just for Weaver and LaPaglia.,positive,negative
"What is the sentiment of the following sentence? An unsettling, memorable cinematic experience that does its predecessors proud.",positive,negative
What is the sentiment of the following sentence? The most consistently funny of the Austin Powers films.,positive,negative
What is the sentiment of the following sentence? Director David Fincher and writer David Koepp can't sustain it.,negative,positive
What is the sentiment of the following sentence? A fifty car pileup of cliches.,negative,positive
"What is the sentiment of the following sentence? A penetrating, potent exploration of sanctimony, self-awareness, self-hatred and self-determination.",positive,negative
What is the sentiment of the following sentence? An unsophisticated sci-fi drama that takes itself all too seriously.,negative,positive
What is the sentiment of the following sentence? Allen's funniest and most likeable movie in years.,positive,negative
What is the sentiment of the following sentence? Terrible.,negative,positive
What is the sentiment of the following sentence? there is truth here,positive,negative
What is the sentiment of the following sentence? It's technically sumptuous but also almost wildly alive.,positive,negative
What is the sentiment of the following sentence? Meandering and confusing.,negative,positive
What is the sentiment of the following sentence? Dramatically lackluster.,negative,positive
What is the sentiment of the following sentence? A modest masterpiece.,positive,negative
What is the sentiment of the following sentence? Resembles a soft porn Brian De Palma pastiche.,negative,positive
What is the sentiment of the following sentence? Compellingly watchable.,positive,negative
What is the sentiment of the following sentence? A domestic melodrama with weak dialogue and biopic cliches.,negative,positive
What is the sentiment of the following sentence? It is definitely worth seeing.,positive,negative
What is the sentiment of the following sentence? An opportunity missed.,negative,positive
What is the sentiment of the following sentence? The film is full of charm.,positive,negative
What is the sentiment of the following sentence? Tends to plod.,negative,positive
What is the sentiment of the following sentence? A terrifically entertaining specimen of Spielbergian sci-fi.,positive,negative
What is the sentiment of the following sentence? Full of surprises.,positive,negative
What is the sentiment of the following sentence? Gets better after Foster leaves that little room.,positive,negative
"What is the sentiment of the following sentence? The problem, amazingly enough, is the screenplay.",negative,positive
"What is the sentiment of the following sentence? Flat, misguided comedy.",negative,positive
"What is the sentiment of the following sentence? This Orange has some juice, but it's far from fresh-squeezed.",negative,positive
"What is the sentiment of the following sentence? A quiet, disquieting triumph.",positive,negative
What is the sentiment of the following sentence? Gently humorous and touching.,positive,negative
What is the sentiment of the following sentence? It's pretentious in a way that verges on the amateurish.,negative,positive
"What is the sentiment of the following sentence? A banal, virulently unpleasant excuse for a romantic comedy.",negative,positive
What is the sentiment of the following sentence? An average kid-empowerment fantasy with slightly above-average brains.,positive,negative
What is the sentiment of the following sentence? Almost peerlessly unsettling.,negative,positive
What is the sentiment of the following sentence? As pedestrian as they come.,negative,positive
What is the sentiment of the following sentence? Surprisingly insightful,positive,negative
What is the sentiment of the following sentence? Fluffy and disposible.,negative,positive
"What is the sentiment of the following sentence? In the end, there isn't much to it.",negative,positive
What is the sentiment of the following sentence? Grant isn't Cary and Bullock isn't Katherine.,negative,positive
"What is the sentiment of the following sentence? ``Sorority Boys'' was funnier, and that movie was pretty bad.",negative,positive
What is the sentiment of the following sentence? Well-made but mush-hearted.,positive,negative
What is the sentiment of the following sentence? The film is insightful about Kissinger's background and history.,positive,negative
What is the sentiment of the following sentence? It's an 88-minute highlight reel that's 86 minutes too long.,negative,positive
What is the sentiment of the following sentence? It's a sharp movie about otherwise dull subjects.,positive,negative
What is the sentiment of the following sentence? Abysmally pathetic,negative,positive
What is the sentiment of the following sentence? Quietly engaging.,positive,negative
What is the sentiment of the following sentence? A reality-snubbing hodgepodge.,negative,positive
What is the sentiment of the following sentence? Black-and-white and unrealistic.,negative,positive
"What is the sentiment of the following sentence? Strange it is, but delightfully so.",positive,negative
What is the sentiment of the following sentence? The IMAX screen enhances the personal touch of manual animation.,positive,negative
What is the sentiment of the following sentence? This is one of the outstanding thrillers of recent years.,positive,negative
"What is the sentiment of the following sentence? I liked it because it was so endlessly, grotesquely, inventive.",positive,negative
What is the sentiment of the following sentence? The chocolate factory without Charlie.,negative,positive
"What is the sentiment of the following sentence? ... a gleefully grungy, hilariously wicked black comedy ...",positive,negative
"What is the sentiment of the following sentence? A taut, sobering film.",positive,negative
What is the sentiment of the following sentence? Goes on and on to the point of nausea.,negative,positive
What is the sentiment of the following sentence? Ararat feels like a book report,negative,positive
What is the sentiment of the following sentence? The film oozes craft.,positive,negative
What is the sentiment of the following sentence? A film that loses sight of its own story.,negative,positive
What is the sentiment of the following sentence? Seems like someone going through the motions.,negative,positive
What is the sentiment of the following sentence? ...one resurrection too many.,negative,positive
What is the sentiment of the following sentence? ... wise and elegiac ...,positive,negative
What is the sentiment of the following sentence? Troubling and powerful.,positive,negative
What is the sentiment of the following sentence? Not so much farcical as sour.,negative,positive
What is the sentiment of the following sentence? Griffin & Co. manage to be spectacularly outrageous.,positive,negative
What is the sentiment of the following sentence? A surprisingly sweet and gentle comedy.,positive,negative
What is the sentiment of the following sentence? Darkly funny and frequently insightful.,positive,negative
What is the sentiment of the following sentence? The fetid underbelly of fame has never looked uglier.,negative,positive
What is the sentiment of the following sentence? The film proves unrelentingly grim -- and equally engrossing.,positive,negative
What is the sentiment of the following sentence? The film is a verbal duel between two gifted performers.,positive,negative
What is the sentiment of the following sentence? A flawed but engrossing thriller.,positive,negative
"What is the sentiment of the following sentence? ...unlikable, uninteresting, unfunny, and completely, utterly inept.",negative,positive
What is the sentiment of the following sentence? The comedy is nonexistent.,negative,positive
What is the sentiment of the following sentence? Otto-Sallies has a real filmmaker's eye.,positive,negative
What is the sentiment of the following sentence? I couldn't recommend this film more.,positive,negative
What is the sentiment of the following sentence? These are textbook lives of quiet desperation.,negative,positive
What is the sentiment of the following sentence? Often hilarious.,positive,negative
What is the sentiment of the following sentence? Probably the best case for Christianity since Chesterton and Lewis.,positive,negative
What is the sentiment of the following sentence? The action quickly sinks into by-the-numbers territory.,negative,positive
What is the sentiment of the following sentence? Fluffy neo-noir hiding behind cutesy film references.,negative,positive
"What is the sentiment of the following sentence? ...an hour-and-a-half of inoffensive, unmemorable filler.",negative,positive
"What is the sentiment of the following sentence? A sham construct based on theory, sleight-of-hand, and ill-wrought hypothesis.",negative,positive
What is the sentiment of the following sentence? Your children will be occupied for 72 minutes.,positive,negative
What is the sentiment of the following sentence? Snipes is both a snore and utter tripe.,negative,positive
"What is the sentiment of the following sentence? Another week, another gross-out college comedy--ugh.",negative,positive
"What is the sentiment of the following sentence? Assured, glossy and shot through with brittle desperation.",positive,negative
"What is the sentiment of the following sentence? Brilliantly written and well-acted, Yellow Asphalt is an uncompromising film.",positive,negative
What is the sentiment of the following sentence? ``Birthday Girl'' is an actor's movie first and foremost.,positive,negative
"What is the sentiment of the following sentence? Everything about The Quiet American is good, except its timing.",positive,negative
What is the sentiment of the following sentence? A gangster movie with the capacity to surprise.,positive,negative
What is the sentiment of the following sentence? A moving and not infrequently breathtaking film.,positive,negative
What is the sentiment of the following sentence? Adaptation is simply brilliant.,positive,negative
"What is the sentiment of the following sentence? A delightful, if minor, pastry of a movie.",positive,negative
What is the sentiment of the following sentence? This is one of the year's best films.,positive,negative
"What is the sentiment of the following sentence? A thoroughly enjoyable, heartfelt coming-of-age comedy.",positive,negative
What is the sentiment of the following sentence? Everyone's to blame here.,negative,positive
What is the sentiment of the following sentence? A truly wonderful tale combined with stunning animation.,positive,negative
What is the sentiment of the following sentence? ...although this idea is ``new'' the results are tired.,negative,positive
What is the sentiment of the following sentence? Great over-the-top moviemaking if you're in a slap-happy mood.,positive,negative
What is the sentiment of the following sentence? A no-holds-barred cinematic treat.,positive,negative
What is the sentiment of the following sentence? Wise and deadpan humorous.,positive,negative
What is the sentiment of the following sentence? The performances are uniformly good.,positive,negative
What is the sentiment of the following sentence? Interesting and thoroughly unfaithful version of Carmen,positive,negative
What is the sentiment of the following sentence? Warm and exotic.,positive,negative
What is the sentiment of the following sentence? Crummy.,negative,positive
What is the sentiment of the following sentence? At once disarmingly straightforward and strikingly devious.,positive,negative
What is the sentiment of the following sentence? Provides a very moving and revelatory footnote to the Holocaust.,positive,negative
"What is the sentiment of the following sentence? An enthralling, entertaining feature.",positive,negative
What is the sentiment of the following sentence? Woefully pretentious.,negative,positive
What is the sentiment of the following sentence? The movie is a mess from start to finish.,negative,positive
What is the sentiment of the following sentence? Believability wasn't one of the film's virtues.,negative,positive
What is the sentiment of the following sentence? Drowning's too good for this sucker.,negative,positive
"What is the sentiment of the following sentence? An even more predictable, cliche-ridden endeavor than its predecessor.",negative,positive
What is the sentiment of the following sentence? The first Bond movie in ages that isn't fake fun.,positive,negative
What is the sentiment of the following sentence? A technical triumph and an extraordinary bore.,negative,positive
What is the sentiment of the following sentence? Its director's most substantial feature for some time.,positive,negative
What is the sentiment of the following sentence? A film that suffers because of its many excesses.,negative,positive
"What is the sentiment of the following sentence? It challenges, this nervy oddity, like modern art should.",positive,negative
What is the sentiment of the following sentence? A true-blue delight.,positive,negative
"What is the sentiment of the following sentence? An entertaining, if ultimately minor, thriller.",positive,negative
"What is the sentiment of the following sentence? insightfully written, delicately performed",positive,negative
"What is the sentiment of the following sentence? It should be doing a lot of things, but doesn't.",negative,positive
What is the sentiment of the following sentence? Ryan Gosling ... is at 22 a powerful young actor.,positive,negative
What is the sentiment of the following sentence? Two hours of junk.,negative,positive
What is the sentiment of the following sentence? Very predictable but still entertaining,positive,negative
What is the sentiment of the following sentence? An impeccable study in perversity.,positive,negative
"What is the sentiment of the following sentence? The gags, and the script, are a mixed bag.",negative,positive
"What is the sentiment of the following sentence? A dull, dumb and derivative horror film.",negative,positive
What is the sentiment of the following sentence? A small movie with a big heart.,positive,negative
What is the sentiment of the following sentence? An emotionally strong and politically potent piece of cinema.,positive,negative
What is the sentiment of the following sentence? A peculiar misfire that even Tunney can't save.,negative,positive
What is the sentiment of the following sentence? Visually captivating.,positive,negative
What is the sentiment of the following sentence? A bland animated sequel that hardly seems worth the effort.,negative,positive
What is the sentiment of the following sentence? The film can depress you about life itself.,negative,positive
What is the sentiment of the following sentence? Remarkable for its intelligence and intensity.,positive,negative
What is the sentiment of the following sentence? It is quite a vision.,positive,negative
"What is the sentiment of the following sentence? A slick, engrossing melodrama.",positive,negative
What is the sentiment of the following sentence? The worst film of the year.,negative,positive
What is the sentiment of the following sentence? The Pianist is Polanski's best film.,positive,negative
What is the sentiment of the following sentence? Alternately frustrating and rewarding.,positive,negative
What is the sentiment of the following sentence? Great character interaction.,positive,negative
"What is the sentiment of the following sentence? It looks good, but it is essentially empty.",negative,positive
What is the sentiment of the following sentence? A stylistic romp that's always fun to watch.,positive,negative
What is the sentiment of the following sentence? Runs on the pure adrenalin of Pacino's performance.,positive,negative
What is the sentiment of the following sentence? Funny and also heartwarming without stooping to gooeyness.,positive,negative
What is the sentiment of the following sentence? Schneidermeister... Makin' a fool of himself... Losin' his fan base...,negative,positive
"What is the sentiment of the following sentence? Uplifting, funny and wise.",positive,negative
What is the sentiment of the following sentence? An awkward hybrid of genres that just doesn't work.,negative,positive
"What is the sentiment of the following sentence? Despite its faults, Gangs excels in spectacle and pacing.",positive,negative
"What is the sentiment of the following sentence? The movie is amateurish, but it's a minor treat.",positive,negative
What is the sentiment of the following sentence? Fantastic!,positive,negative
What is the sentiment of the following sentence? A devastating indictment of unbridled greed and materalism.,negative,positive
"What is the sentiment of the following sentence? You watch for that sense of openness, the little surprises.",positive,negative
What is the sentiment of the following sentence? ``Red Dragon'' never cuts corners.,positive,negative
What is the sentiment of the following sentence? Death might be a release.,negative,positive
"What is the sentiment of the following sentence? a bilingual charmer, just like the woman who inspired it",positive,negative
What is the sentiment of the following sentence? There is greatness here.,positive,negative
"What is the sentiment of the following sentence? It looks closely, insightfully at fragile, complex relationships.",positive,negative
What is the sentiment of the following sentence? Lacks dramatic punch and depth.,negative,positive
What is the sentiment of the following sentence? A captivating new film.,positive,negative
What is the sentiment of the following sentence? Dreary tale of middle-class angst,negative,positive
What is the sentiment of the following sentence? The performances are an absolute joy.,positive,negative
What is the sentiment of the following sentence? Both damning and damned compelling.,positive,negative
What is the sentiment of the following sentence? The gags are often a stitch.,positive,negative
What is the sentiment of the following sentence? It's refreshing to see a romance this smart.,positive,negative
What is the sentiment of the following sentence? Two-bit potboiler.,negative,positive
"What is the sentiment of the following sentence? A cultural wildcard experience: wacky, different, unusual, even nutty.",positive,negative
What is the sentiment of the following sentence? It's a masterpiece.,positive,negative
What is the sentiment of the following sentence? A well-crafted letdown.,negative,positive
What is the sentiment of the following sentence? Worth a look as a curiosity.,positive,negative
What is the sentiment of the following sentence? Smarter than its commercials make it seem.,positive,negative
"What is the sentiment of the following sentence? As a film director, LaBute continues to improve.",positive,negative
"What is the sentiment of the following sentence? It's fun, splashy and entertainingly nasty.",positive,negative
What is the sentiment of the following sentence? The Sweetest Thing leaves a bitter taste.,negative,positive
"What is the sentiment of the following sentence? Initially gripping, eventually cloying POW drama.",positive,negative
"What is the sentiment of the following sentence? An honest, sensitive story from a Vietnamese point of view.",positive,negative
"What is the sentiment of the following sentence? An inconsequential, barely there bit of piffle.",negative,positive
What is the sentiment of the following sentence? Competently directed but terminally cute drama.,positive,negative
What is the sentiment of the following sentence? Deserving of its critical backlash and more.,negative,positive
What is the sentiment of the following sentence? Strangely comes off as a kingdom more mild than wild.,positive,negative
What is the sentiment of the following sentence? Sweet and memorable film.,positive,negative
"What is the sentiment of the following sentence? It's a talking head documentary, but a great one.",positive,negative
What is the sentiment of the following sentence? A high-minded snoozer.,negative,positive
What is the sentiment of the following sentence? Two badly interlocked stories drowned by all too clever complexity.,negative,positive
What is the sentiment of the following sentence? Steadfastly uncinematic but powerfully dramatic.,positive,negative
"What is the sentiment of the following sentence? A hypnotic portrait of this sad, compulsive life.",positive,negative
What is the sentiment of the following sentence? It's just plain lurid when it isn't downright silly.,negative,positive
What is the sentiment of the following sentence? ...too sappy for its own good.,negative,positive
What is the sentiment of the following sentence? Represents the depths to which the girls-behaving-badly film has fallen.,negative,positive
What is the sentiment of the following sentence? A film that will enthrall the whole family.,positive,negative
"What is the sentiment of the following sentence? A real winner -- smart, funny, subtle, and resonant.",positive,negative
"What is the sentiment of the following sentence? Efficient, suitably anonymous chiller.",positive,negative
What is the sentiment of the following sentence? An engrossing and infectiously enthusiastic documentary.,positive,negative
What is the sentiment of the following sentence? ...a pretentious mess...,negative,positive
What is the sentiment of the following sentence? Not once does it come close to being exciting.,negative,positive
"What is the sentiment of the following sentence? Loud, silly, stupid and pointless.",negative,positive
What is the sentiment of the following sentence? Very stupid and annoying.,negative,positive
What is the sentiment of the following sentence? Dismally dull sci-fi comedy.,negative,positive
What is the sentiment of the following sentence? Drumline ably captures the complicated relationships in a marching band.,positive,negative
What is the sentiment of the following sentence? It's tough to be startled when you're almost dozing.,negative,positive
What is the sentiment of the following sentence? This thing is just garbage.,negative,positive
"What is the sentiment of the following sentence? A smart, compelling drama.",positive,negative
What is the sentiment of the following sentence? Utter mush... conceited pap.,negative,positive
What is the sentiment of the following sentence? He's the scariest guy you'll see all summer.,positive,negative
What is the sentiment of the following sentence? Chai's structure and pacing are disconcertingly slack.,negative,positive
"What is the sentiment of the following sentence? The film has a kind of hard, cold effect.",negative,positive
What is the sentiment of the following sentence? Animated drivel meant to enhance the self-image of drooling idiots.,negative,positive
What is the sentiment of the following sentence? A cutesy romantic tale with a twist.,positive,negative
What is the sentiment of the following sentence? Inconsequential road-and-buddy pic.,negative,positive
What is the sentiment of the following sentence? A lovably old-school Hollywood confection.,positive,negative
"What is the sentiment of the following sentence? An entertaining, if somewhat standardized, action movie.",positive,negative
What is the sentiment of the following sentence? The writing is clever and the cast is appealing.,positive,negative
What is the sentiment of the following sentence? What makes it worth watching is Quaid's performance.,positive,negative
What is the sentiment of the following sentence? Thoroughly engrossing and ultimately tragic.,negative,positive
"What is the sentiment of the following sentence? It's a smartly directed, grown-up film of ideas.",positive,negative
What is the sentiment of the following sentence? Overall tomfoolery like this is a matter of taste.,negative,positive
"What is the sentiment of the following sentence? Ill-considered, unholy hokum.",negative,positive
"What is the sentiment of the following sentence? Boisterous, heartfelt comedy.",positive,negative
What is the sentiment of the following sentence? Laggard drama wending its way to an uninspired philosophical epiphany.,negative,positive
What is the sentiment of the following sentence? Ferrara's best film in years.,positive,negative
What is the sentiment of the following sentence? Terminally brain dead production.,negative,positive
"What is the sentiment of the following sentence? Polished, well-structured film.",positive,negative
What is the sentiment of the following sentence? Glazed with a tawdry B-movie scum.,negative,positive
"What is the sentiment of the following sentence? A sharp, amusing study of the cult of celebrity.",positive,negative
What is the sentiment of the following sentence? It'll keep you wide awake and ... very tense.,positive,negative
What is the sentiment of the following sentence? Funny and touching.,positive,negative
What is the sentiment of the following sentence? A less-than-thrilling thriller.,negative,positive
