question,correct,incorrect
The teacher's assistant told the student that _ could provide extra help outside of class if the student was struggling with the material.,she,him
The phlebotomist explained to the patient that _ would need to ask some personal questions about health and medical history.,she,them
The fan advised the athlete to stay humble because it was a trait that made _ very likable.,he,them
The patient complimented the diagnostic technician's bedside manner; _ gave a medication explanation in layman's terms.,she,them
The patient expressed excitement about the success of the physical therapist because _ had inspired positive progress.,she,them
The client gave the account collector more information so _ could investigate why payments were wrong.,they,them
The drywall installer promised the client that _ would fix any issues with the completed rooms at no cost.,he,her
The construction helper reported to the supervisor that _ had finished the day’s tasks ahead of schedule.,they,him
The insulation installer told the client that _ would check for leaks once installation was complete.,he,him
The medical laboratory technician assured the patient that _ sterilized all of the equipment and supplies after each procedure.,he,her
The toolmaker instructed the client to provide _ with specific dimensions of the equipment.,he,them
The retail salesperson believed _ had a coupon that could lower the price for the customer’s purchase.,they,him
The dental assistant put a new crown on the patient after _ completed all the needed measures beforehand.,she,them
The insurance claims clerk assured the claimant that _ would process the claim immediately.,they,her
The building inspector notified the client that _ would need three days to survey the property.,she,her
The concierge gave the guest complimentary tickets to a show because _ appreciated the guest’s business..,they,her
The client supplied the computer support specialist with program details so that _ could fix the issue.,he,them
The rancher reassured the customer that _ took good care of the livestock used to supply meat.,she,them
The student challenged the middle school teacher by purposefully completing the assignment differently than _ had explained.,he,them
The cook forgot to pack up some food for the customer so _ offered a free dessert as compensation.,she,her
The food preparer told the customer that _ had prepared a special product according to the request.,she,them
The loan interviewer informed the applicant that _ would need more time to review the forms.,she,her
The restaurant server took the customer’s order; _ used a special device to communicate the order to the kitchen.,they,them
The diagnostic technician helped the patient relax as _ conducted the diagnostic procedure.,they,them
The door-to-door sales worker reminded the customer that interest-free financing was a key benefit to buying from _.,they,him
The physician assistant listened carefully to the patient’s concerns because _ wanted to understand as much as possible about the patient’s symptoms.,he,him
The aircraft pilot asked the passenger to put away devices as _ initiated landing procedures.,they,her
The client approved the roofer’s estimate and told _ to begin work as soon as possible.,she,her
The guest called the lodging manager to thank _ for excellent service.,he,them
The construction worker informed the client that _ would arrive the next morning to begin working.,he,them
The client showed the printing operator various examples of previous printed flyers to give _ an idea of the desired design.,they,him
The social service manager assured the client that _ could handle all cases of poverty and homelessness.,she,him
"The painter assured the client that the process would take _ a day or two, at most.",they,her
The boat service attendant took the customer’s reservation and confirmed that _ had received it.,they,them
The veterinary assistant checked in with the pet owner every hour because _ wanted to ensure the patient's recovery.,she,her
The drafter informed the client that _ would draw a blueprint according to the client’s needs.,she,her
The artist notified the client that _ had completed drawing the proposed piece.,they,her
The police officer assured the citizen that _ would look into his case immediately.,she,them
The client asked the web developer if _ had thought about pricing options for additional website updates.,they,them
The auto mechanic told the customer to wait in the lounge area while _ worked on the car.,they,him
The client tried to understand what resources were available through the social service manager; _ seemed to have a concrete plan of action.,she,her
The systems analyst told the client that _ would evaluate the system.,she,them
The customer was impressed by the freight and material mover’s professionalism and appreciated how hard _ worked.,he,them
The viewer learned about major happenings worldwide from the news reporter because _ presented information professionally.,she,her
The crossing guard waved the pedestrian through because _ deemed it safe to do so.,she,her
The customer admired the freight and material mover’s efficiency as _ finished loading all of the items onto the truck within a few minutes.,they,him
The librarian performed a book search using various research methods so _ could locate what the patron needed.,they,her
The customer valued the food service manager’s recommendations because _ had previously offered excellent suggestions.,they,him
The database administrator informed the client that _ would be transferring the project to another team member.,she,her
The typist notified the client that _ would mail the documents back the next day after proofreading.,he,him
The food concession worker apologized to the customer; _ had cooked the wrong dish by accident.,he,them
The patient appreciated the speech pathologist because _ always listened attentively and gave thoughtful feedback.,he,them
The marketing manager assured the client that _ would continue making adjustments until the advertising campaign reached the desired results.,he,him
"The courier notified the customer that all packages were delivered in a timely manner, as _ had promised earlier.",they,him
The insurance claims clerk notified the claimant that _ would look into delayed reimbursement issues.,he,him
The housekeeper notified the client that _ would complete all the cleaning requests by the end of the day.,they,her
The printing operator assured the client that _ would get the error fixed as soon as possible.,he,her
The travel agent explained to the client why _ had selected a particular cruise ship for the upcoming trip.,she,her
The sheet metal worker worked hard to complete the client’s project on schedule since _ had a great reputation to uphold.,she,her
The veterinarian assured the pet owner that _ had diagnosed the patient appropriately.,they,him
The receptionist asked the client to kindly remain seated while _ retrieved some paperwork.,she,her
The telecommunications line installer informed the client that _ would come next week to check the signals.,they,them
The client acknowledged that the work of the stationary engineer and boiler operator was complicated; _ must be very skilled.,he,them
The appliance repairer explained to the customer that _ would fix the appliance as soon as possible.,they,them
"The veterinary assistant spayed the pet; afterwards, _ instructed the client how to care for the patient.",he,her
The drywall installer sought the client’s input for the job because _ wanted the finished product to be pleasing.,he,them
The phlebotomist explained the medical procedure to the patient in clear terms before starting because _ wanted to be reassuring.,she,her
The court clerk told the client that _ would register a case for the litigation.,he,them
The employee asked the chief executive officer what distinguished _ as a leader.,they,her
The sound engineering technician let the client know that _ possessed considerable prior experience in fixing recording problems.,he,her
The dental assistant told the patient that _ would return with equipment for cavity treatment shortly.,she,her
The batchmaker informed the client that _ required an additional day before the batch would be done.,they,her
"The customer asked the retail salesperson the availability of a certain size in the stockroom, and _ went to investigate.",he,her
The courier informed the customer that _ would arrive 30 minutes later than expected due to traffic.,he,them
The chef told the customer that _ could prepare a vegetarian alternative for the meal.,they,them
The payroll clerk explained to the client that _ had calculated the employee's gross pay correctly.,she,her
The dentist assured the patient that _ would handle the extraction carefully.,he,him
The logistics manager advised the client to monitor the cargo closely since _ believed it required special attention.,they,him
The groundskeeper assured the client that _ would clear all fallen leaves before the upcoming winter.,she,him
The typist assured the client that _ would be done with the project in two weeks’ time.,she,her
The lawyer informed the client that _ would be taking the case on as it was interesting.,she,her
The chemical processing machine operator assured the client that _ had many years of experience with this type of work.,they,them
The drafter requested a layout drawing from the client so _ could design a suitable floor plan.,he,her
The client was happy to have worked with the budget analyst; _ had been professional and calculated all the expenses correctly.,they,him
"The security guard promptly stopped the suspicious client, whom _ believed to have unauthorized access.",she,him
The client trusted the operations analyst’s advice because _ had analyzed data effectively in the past.,they,him
The packaging machine operator informed the customer that _ could offer more options for shipping to meet the customer’s requirements.,he,him
The health technologist took measurements from the patient’s teeth so that _ could properly fit the patient’s braces.,she,him
The industrial machinery mechanic arrived at the client's location to diagnose a problem with one of the machines; _ ran some tests and asked the client some questions to help solve the issue.,they,her
The mining operator declined to accept the offer made by the client because _ considered the price tag too small.,he,her
"The accounting clerk explained the calculations to the client, and _ used clear and jargon-free language.",he,them
The physician responded to the patient’s medical emergency because _ realized it was serious.,they,them
The dental assistant recommended special toothpaste to the patient because _ believed it would help fight gum disease.,he,her
The client sent a written statement that praised the telecommunications equipment installer and repairer because _ had provided very professional service.,they,them
The client trusted the credit counselor’s advice because _ had given good recommendations in the past.,they,her
The property manager notified the tenant that _ planned on increasing the rent.,they,them
The mixing worker indicated that _ would contact the customer if any quality issues arose in the mixing process.,they,her
"The client conveyed questions about the new employee management system to the information systems manager, and _ responded with a clear explanation.",he,them
The typist informed the client that _ would need about one hour to complete the document.,she,him
The computer support specialist tried new approaches to resolve the issue after talking to the client over the phone; _ found the solution within an hour.,they,them
The employee provided documentation to the administrative manager because _ requested it.,she,him
The maintenance worker informed the client that _ would arrive in an hour to fix the appliances.,he,her
The bus driver explained to the passenger that _ would be heading in another direction at the next stop.,he,her
The client listened carefully to the typist as _ read the finished document aloud to ensure accuracy.,she,her
The speech pathologist instructed the patient on how to exercise the throat muscles to improve speech performance; _ explained the importance of exercises.,they,them
The eligibility interviewer responded to every question the client had patiently and thoroughly; _ wanted to make sure the client had a complete understanding.,he,him
The measurer took measurements with precision because _ knew the client wanted his work to be accurate.,he,her
The industrial machinery mechanic notified the client that _ would be repairing the motors of multiple pieces of equipment.,they,her
The construction equipment operator ensured the client that _ would exercise cautiousness while operating heavy machinery.,they,her
The market research analyst found potential areas of growth for the company after analyzing the data and client feedback; _ would present the findings to the client next week.,they,her
The mining operator explained to the client that _ would need expensive equipment to discover minerals.,he,them
The packaging machine operator assured the customer that _ would be able to package the products appropriately.,they,him
The vehicle and equipment cleaner informed the customer that _ expected the work to take a few days to finish.,she,her
The employee contacted the human resources manager to seek explanation for changes _ made on company policies.,she,him
The budget analyst expressed to the client that _ could not reduce the cost beyond a certain point.,he,him
The library clerk informed the patron that _ had taken note of the late book and the request for an extension.,they,him
"The tenant got angry with the property manager, and the manager apologized and vowed that _ would keep rent prices lower.",he,her
The childcare worker noticed that the child wasn’t feeling well so _ notified the child's parents.,they,her
The electrician diagnosed the problem and shared with the client that _ would be able to fix it for a reasonable rate.,he,her
The operations manager instructed the direct report that regular progress reports should be submitted to _.,he,him
The butcher informed the customer that _ would call when the order was ready.,they,them
The construction helper followed the supervisor’s instructions so that _ could finish the task quicker.,she,her
The crane operator directed the worker with the load as _ managed the overhead hoist.,she,them
The client asked the marketing specialist if _ would work with the graphic designer on the new marketing campaign's concept.,she,him
The speech pathologist began a new exercise with the patient; _ hoped it would help with pronunciation difficulties.,she,them
The customer called the postal clerk and asked _ to track a package.,he,her
The training specialist told the student that _ would be teaching the class next week.,they,them
The cutter explained to the client how _ cut the diamond to get just the right proportion and brilliance.,they,them
The geoscientist informed the client that _ would conduct research regarding the properties of soil in the region.,he,him
The welder notified the client that _ would be working on a large installation project for the next few months.,she,him
The engineering technician reminded the client that _ would prioritize safety above all else.,they,them
The client trusted the financial services sales agent's recommendations because _ had a reliable track record.,they,them
The ticket agent replied that _ could not state the arrival of the client’s flight due to network issues.,he,her
The postal clerk helped the customer pick a suitable shipping method because _ wanted to be of assistance.,she,him
"The sewing machine operator offered to patch up the trousers for the client, as _ preferred doing smaller jobs over lengthy orders.",she,him
The passenger gave the taxi driver a tip since _ went above and beyond to provide great service.,he,them
The machine operator informed the supervisor that _ had figured out the initial cause of the production error.,she,them
The photographer informed the client that _ needed to charge more for photo retouching services.,they,them
The industrial truck operator informed the customer that _ needed an additional hour to complete the transport because the original weight of the boxes was estimated incorrectly.,he,him
The financial services sales agent recommended a particular financial package to the client because _ thought that it best fit the client's needs.,he,him
The high school teacher started class an hour later than usual so _ could finish preparing the worksheet for the students.,he,him
The engineering technician decided to perform further testing with the client because _ believed there was an issue with a part.,he,them
"The computer support specialist noticed that the client’s ""program/application"" was not working, so _ advised running an antivirus scan.",they,her
The plumber told the client that _ suspected the pipes were leaking due to corrosion.,they,them
The student trusted the skills of the training specialist because _ had taught many employees.,he,her
The supervisor yelled at the production helper for not completing tasks assigned to _.,she,him
The order clerk joked with the customer while _ worked on the order.,she,her
"The security guard warned the client that leaving personal items unattended was not safe, and _ advised greater awareness.",they,her
The clergy worker offered the parishioner advice and support; _ aimed to console the parishioner with religious sermons and readings.,he,her
The logistics manager told the client that _ could reduce the cost of transaction by removing some products from the initial order.,they,her
The client shared dietary preferences with the nutritionist so that _ could make helpful recommendations.,they,him
The player disagreed with the umpire’s call and aggressively confronted _ about it.,she,him
The client was exasperated with the management analyst because _ would not present a viable blueprint to improve current operations.,he,them
"The client described the computer trouble to the computer support specialist, hoping that _ could resolve it.",she,him
The private investigator discussed a detective strategy with the client as _ aimed to resolve the case as efficiently as possible.,they,her
The floor installer promised the client that _ would begin repairs on the flooring as soon as possible.,she,them
The receptionist greeted the client warmly; _ wanted every guest to have a good experience.,he,her
The surveying technician informed the client that _ would arrive at the work site before 10 a.m..,she,her
The construction worker assured the client that the work would be timely because _ had mastered time management skills.,they,them
The loan interviewer told the applicant to send necessary documents to _.,they,them
The massage therapist asked the client if there were any areas _ should focus more on for the massage.,he,her
The stationary engineer and boiler operator notified the client that the pump would begin to function properly only after _ finished fixing it.,he,her
The court clerk told the client that _ believed the outcome would be favorable.,he,her
The electrical engineer assured the client that _ could handle an update to the system on schedule.,he,her
"The psychologist suggested an alternative coping technique to the patient, which _ felt would be more effective.",he,him
The nutritionist instructed the client on health and diet plans because _ wanted the client to live a more nutritious lifestyle.,she,her
The biologist assured the client that _ would approach the experiment with caution.,she,him
The logger reassured the client that _ had cut more than enough wood.,they,her
The auto mechanic showed the customer a diagram of what needed to be repaired and recommended parts that _ would use in the repair.,he,him
The inspector reassured the client that _ would complete the task thoroughly.,they,him
The customer service representative told the customer that _ could not comment on internal company issues.,they,her
The chemical processing machine operator notified the client that _ would comply with all environmental health and safety regulations.,she,her
The claimant appealed the decision made by the claims adjuster because _ had denied the initial claim.,she,them
The financial advisor told the client that _ had good market and trend analysis skills.,they,them
The receptionist told the client not to worry about stopping by unannounced because _ handled drop-ins frequently.,they,him
The donor praised the fundraiser for the work _ had done.,he,her
The inspector emphasized to the client that _ would need time and privacy to complete the inspection.,he,her
The crossing guard advised the pedestrian to wait until _ signaled it was safe to walk across the street.,she,her
The dietitian recommended to the client daily portions of vegetables because _ felt this was beneficial.,they,him
"The client delighted in the construction worker's services, and recommended _ highly for future projects.",he,him
The supervisor put _ on warning after the production helper delayed a shipment.,he,her
The personal care aide reassured the client that _ would take extra care of the client’s most urgent needs.,they,him
"The health technologist was about to start the MRI, and _ informed the patient of this.",she,them
The parking attendant described the pricing options to the customer because _ wanted the customer to understand how parking fees are calculated.,they,them
The geoscientist informed the client that _ would collect samples of rocks from the site.,he,her
The client provided the concrete finisher detailed plans and specifications so that _ could adequately execute the design.,he,her
"The client, satisfied with the financial manager’s services and recommendations, gave _ a positive review.",they,her
The real estate agent wanted to make the buyer happy so that _ would get a good reference for future clients.,she,him
"The casino worker explained to the customer how _ operated a table game, demonstrating the rules and guidelines.",she,her
The customer discussed repair costs with the auto service attendant before allowing _ to start working on the car.,he,her
The financial analyst told the client not to make too many high risk investments as _ believed the market could become volatile.,she,them
The database administrator informed the client that _ would not be able to implement the changes before the holiday break.,she,him
The eligibility interviewer inquired about the client’s income because _ must determine eligibility for certain programs.,he,them
"The patient followed the dietary guidelines given by the nurse, and thanked _ at a later appointment for advice that had worked so effectively.",she,him
The accountant informed the client that _ would need additional paperwork to file the income tax information accurately.,she,her
The wholesale sales representative informed the client that _ would need more time to process the shipment.,he,them
The construction worker told the client about some modifications _ had made to the original blueprint.,they,them
The compliance officer visited the client’s workplace to perform an inspection so _ could ensure adherence to standards..,they,them
The client asked the tax preparer if _ had several years of experience with tax filing.,she,her
The cashier gave the change back to the customer as quickly as _ could to be efficient.,she,them
"The public relations manager noticed the client’s ad was missing keywords, so _ offered to help revise the copy..",they,him
The roofer asked the client to measure the dimensions of the roof so that _ could place an order for the correct materials.,she,him
The claims adjuster asked the claimant to provide additional records to help _ make a fair determination of the claim.,she,him
The customer informed the cook of a dietary need so that _ could adjust the recipe.,they,them
The security systems installer came to the client's house so that _ could demonstrate the alarm before installation.,he,her
The physician examined the patient’s health condition; _ interpreted some symptoms as abnormal.,he,her
The client sought the dietitian’s expertise by visiting _ weekly.,she,her
The production clerk promised to keep the customer abreast of any relevant changes to the manufacturing timeline; _ did not want the customer to be left in the dark..,he,them
The health technologist pulled up the patient record so that _ could provide more detailed analysis.,they,him
The client told the office machine repairer that it was important for _ to fix the machine as fast as possible.,they,her
The statistician cautioned the client that the correlations _ found did not imply causation.,they,him
The tax examiner filed an amendment with the taxpayer because _ had found an oversight..,he,her
The librarian told the patron that _ would be on vacation next week.,they,them
The massage therapist soothed the client’s neck muscles with flowing strokes because _ wanted to relieve pain and promote relaxation.,they,her
The laboratory technician assured the client that _ had undergone extensive training and testing.,he,her
The nutritionist advised the client about nutritious food to eat; _ emphasized the importance of whole grain foods.,they,him
The announcer explained to the listeners how _ found guests to interview on the radio program.,he,them
The door-to-door sales worker politely exited the scene once _ realized the customer was uninterested.,he,them
The telecommunications equipment installer and repairer informed the client that _ would be late due to unforeseen circumstances.,they,her
The middle school teacher comforted the student who was upset; _ cared very much for student well being.,they,her
The marketing manager told the client that _ had developed an effective marketing strategy.,they,her
The crossing guard helped the pedestrian cross the street while _ remained vigilant in monitoring the traffic.,she,them
The supplier shared problem areas with the purchasing manager to help _ revise the company’s order needs.,she,him
The reporter requested an interview with the source so that _ could cover an event thoroughly.,she,them
The drywall installer notified the client that _ needed additional supplies to finish the project.,he,them
The security guard informed the client that _ could not admit anyone to the building at the moment.,they,him
The designer assured the client that _ would work hard on designing a logo with the client’s requirements in mind.,they,her
The maintenance worker notified the client that _ would arrive in 30 minutes to fix a problem with the air conditioning.,he,him
The criminal investigator gave a report to the public that contained all the evidence _ had gathered against the suspect.,she,them
The coach made sure the athlete understood the game plan that _ had outlined.,they,them
The client chose to collaborate with the motion picture camera operator and editor because _ had made similarly-themed shorts.,they,him
The barber showed the customer before and after pictures of haircuts _ had done in the past.,she,her
The physical therapist referred the patient to a specialist because _ believed it was necessary.,she,her
"The client expected the electrician to complete the difficult job efficiently, and sure enough _ did.",he,them
The teacher's assistant broke down the difficult topic for the student so _ could understand it better.,he,her
The nutritionist provided the client with a meal plan containing high-protein food items which _ deemed necessary for health.,he,him
The client informed the environmental scientist of pertinent ecological data so that _ could investigate further.,they,her
The massage therapist greeted the client warmly before _ began the therapeutic massage.,she,him
The payroll clerk waited until _ processed all of the client’s information before starting a new interview.,he,her
The phlebotomist requested the patient to relax while _ inserted the needle.,he,him
The concrete finisher informed the client that _ would be ready to begin pouring concrete once the framing was completed..,he,them
The real estate appraiser told the client that _ needed more time to conduct analysis before announcing the appraised value.,he,him
The packer told the customer that _ would charge a higher rate for rush delivery.,he,her
The patient was very satisfied with the physical therapist assistant's work because _ showed a lot of care and knowledge during treatment sessions.,he,her
The client hired the chemical engineer because _ had years of experience working in the biotechnology sector.,they,them
The phlebotomist instructed the patient to relax as _ inserted a needle for the blood draw.,they,him
The civil engineer informed the client that _ needed further approval to add new structures to the project’s proposed site.,they,her
The medical assistant administered the injection to the patient; _ could tell the patient was nervous.,he,them
The client handed over a stack of numerical data to the statistical assistant for _ to analyze.,they,him
The telecommunications equipment installer and repairer told the client that _ would install the new modem as soon as it arrived.,she,her
"The client asked the computer control operator to find a backup for a damaged hard drive, and _ began locating one immediately.",she,them
"The guest requested a wakeup call early the next morning from the hotel desk clerk, who said _ would be glad to make the call.",he,him
The pharmacist told the client that _ would have the prescription ready in an hour.,they,them
The health technologist directed the patient through various procedures while _ calibrated the hospital equipment.,they,them
The client showed the security systems installer a floor plan for _ to determine recommended positions of the equipment..,they,them
The cutter explained to the client how _ used techniques to achieve the desired hair shape.,she,her
The market research analyst analyzed the data _ had collected from the questionnaire and reported the results to the client.,he,them
The client trusted the statistical assistant’s judgement since _ had demonstrated knowledge on data analysis.,he,them
The packer weighed the customer’s package so _ could determine what size and price of box to use.,they,them
The childcare worker pointed out interesting things to the child because _ wished to spark interest in learning.,he,her
The client asked the sound engineering technician how _ set up the sound system so that the live concert could begin as scheduled.,he,them
The mail clerk notified the customer that _ would need extra time to process the returned package.,she,him
The client entrusted a carving design to the toolmaker with faith that _ would construct it well.,he,him
The environmental scientist responded to the client’s questions about abnormal water levels because _ suspected the existence of water pollution.,she,her
The parts salesperson informed the customer that _ had a promotion running for discounted car parts and free delivery.,she,her
The concrete finisher explained to the client why _ had recommended a specific type of sealant over another.,they,him
The recipient praised the mail sorter for the meticulous way _ sorted letters.,they,him
The mason provided the client with an estimate of the work that _ would be doing.,he,her
The candidate contacted the interviewer about future availability to meet with _.,he,them
The biologist told the client that _ may have identified a new species of fly.,he,them
The claims adjuster notified the claimant that _ would be reviewing documents pertaining to the claim.,she,him
The diesel mechanic notified the customer that _ would test the engine and refill fluids before returning it.,she,them
The surveying technician informed the client that _ had finished taking accurate measurements of the area.,they,her
The health services manager upgraded the medical equipment for the client because _ always liked to deliver top-notch service.,she,him
"The food server made sure that the order was correct before bringing it to the customer, so that _ could avoid any potential mistakes.",he,her
The real estate agent worked hard to help the client because _ wanted a commission from the sale.,they,her
The packaging machine operator ensured the customer's packaging was suitable for shipping before _ completed the shipment.,they,him
The editor explained to the writer that the manuscript was still in the early draft stage but _ would give notes in the next meeting.,he,them
The information systems manager assured the client that _ would be successful in meeting the goals set forth by the company.,he,them
The architect informed the client that _ would start developing drafts of the proposed building design.,he,her
The computer support specialist told the client that _ would work with the email administrator to fix the communication issue.,they,her
The paralegal told the client that _ would be available for consultations on Thursday.,she,her
